Original_File,Extracted_Text,Proposed_Filename
page_22_1785375462221.png,Unknown_ILLUSTRATION 2.30,Unknown_ILLUSTRATION 2.30.png
page_23_1785375471028.png,Unknown_ILLUSTRATION 2.31,Unknown_ILLUSTRATION 2.31.png
page_23_1785375476760.png,Unknown_ILLUSTRATION 2.32,Unknown_ILLUSTRATION 2.32.png
page_24_1785375484333.png,Unknown_ILLUSTRATION 2.33,Unknown_ILLUSTRATION 2.33.png
page_24_1785375492002.png,Unknown_ILLUSTRATION 2.34,Unknown_ILLUSTRATION 2.34.png
page_25_1785375501626.png,Unknown_ILLUSTRATION 2.35,Unknown_ILLUSTRATION 2.35.png
page_28_1785375618660.png,Unknown_University Payroll Data,Unknown_University Payroll Data.png
page_28_1785375627469.png,Unknown_Top Filter: Top Five Universit,Unknown_Top Filter Top Five Universit.png
page_29_1785375646882.png,Unknown_ILLUSTRATION 2.38,Unknown_ILLUSTRATION 2.38.png
page_30_1785375658166.png,Unknown_University Payroll,Unknown_University Payroll.png
page_30_1785375666016.png,Unknown_ILLUSTRATION 2.40,Unknown_ILLUSTRATION 2.40.png
page_31_1785375682647.png,Unknown_ILLUSTRATION 2.41,Unknown_ILLUSTRATION 2.41.png
page_31_1785375687362.png,Unknown_ILLUSTRATION 2.42,Unknown_ILLUSTRATION 2.42.png
page_32_1785375697183.png,Unknown_ILLUSTRATION 2.43,Unknown_ILLUSTRATION 2.43.png
page_32_1785375704117.png,Unknown_ILLUSTRATION 2.44,Unknown_ILLUSTRATION 2.44.png
page_33_1785375724495.png,Unknown_ILLUSTRATION 2.45,Unknown_ILLUSTRATION 2.45.png
page_34_1785375737286.png,Unknown_ILLUSTRATION 2.46,Unknown_ILLUSTRATION 2.46.png
page_34_1785375744657.png,Unknown_ILLUSTRATION 2.47,Unknown_ILLUSTRATION 2.47.png
page_35_1785375754906.png,Unknown_ILLUSTRATION 2.47,Unknown_ILLUSTRATION 2.47.png
page_35_1785375760123.png,Unknown_ILLUSTRATION 2.48,Unknown_ILLUSTRATION 2.48.png
page_36_1785375771529.png,Unknown_Negative,Unknown_Negative.png
page_36_1785375777514.png,Unknown_Correlation r,Unknown_Correlation r.png
page_36_1785375784136.png,Unknown_Correlation Coefficient of Ice,Unknown_Correlation Coefficient of Ice.png
page_37_1785375800204.png,Unknown_ILLUSTRATION 2.52,Unknown_ILLUSTRATION 2.52.png
page_37_1785375805994.png,Unknown_ILLUSTRATION 2.53,Unknown_ILLUSTRATION 2.53.png
page_38_1785375820866.png,Unknown_ILLUSTRATION 2.54,Unknown_ILLUSTRATION 2.54.png
page_38_1785375829644.png,Unknown_ILLUSTRATION 2.55,Unknown_ILLUSTRATION 2.55.png
page_3_1785375102043.png,Unknown_ILLUSTRATION 2.1,Unknown_ILLUSTRATION 2.1.png
page_3_1785375111501.png,Unknown_ILLUSTRATION 2.2,Unknown_ILLUSTRATION 2.2.png
page_42_1785375989650.png,Unknown_Annual Sales,Unknown_Annual Sales.png
page_43_1785376115124.png,Unknown_ILLUSTRATION 2.57,Unknown_ILLUSTRATION 2.57.png
page_44_1785376144829.png,Unknown_ILLUSTRATION 2.57,Unknown_ILLUSTRATION 2.57.png
page_45_1785376160786.png,Unknown_ILLUSTRATION 2.58,Unknown_ILLUSTRATION 2.58.png
page_45_1785376167851.png,Unknown_ILLUSTRATION 2.59,Unknown_ILLUSTRATION 2.59.png
page_46_1785376176831.png,Unknown_(v E,Unknown_(v E.png
page_46_1785376183204.png,Unknown_ILLUSTRATION 2.61,Unknown_ILLUSTRATION 2.61.png
page_47_1785376194130.png,Table7 3 To build a PivotChart,Table7 3 To build a PivotChart.png
page_47_1785376201103.png,Unknown_ILLUSTRATION 2.63,Unknown_ILLUSTRATION 2.63.png
page_4_1785375121098.png,Unknown_ILLUSTRATION 2.3,Unknown_ILLUSTRATION 2.3.png
page_50_1785376227692.png,Unknown_ILLUSTRATION 2.64,Unknown_ILLUSTRATION 2.64.png
page_51_1785376236972.png,Unknown_ILLUSTRATION 2.65,Unknown_ILLUSTRATION 2.65.png
page_51_1785376244078.png,Unknown_ILLUSTRATION 2.66,Unknown_ILLUSTRATION 2.66.png
page_52_1785376260127.png,Unknown_ILLUSTRATION 2.67,Unknown_ILLUSTRATION 2.67.png
page_53_1785376272660.png,Unknown_ILLUSTRATION 2.68,Unknown_ILLUSTRATION 2.68.png
page_53_1785376281022.png,Unknown_ILLUSTRATION 2.69,Unknown_ILLUSTRATION 2.69.png
page_54_1785376298686.png,Unknown_Gross Sales by Model,Unknown_Gross Sales by Model.png
page_54_1785376307151.png,Unknown_ILLUSTRATION 2.71,Unknown_ILLUSTRATION 2.71.png
page_55_1785376318077.png,Unknown_ILLUSTRATION 2.72,Unknown_ILLUSTRATION 2.72.png
page_55_1785376325410.png,Unknown_ILLUSTRATION 2.73,Unknown_ILLUSTRATION 2.73.png
page_5_1785375133547.png,Table 1 Table 2 column,Table 1 Table 2 column.png
page_6_1785375144438.png,Unknown_ILLUSTRATION 2.5,Unknown_ILLUSTRATION 2.5.png
page_6_1785375148989.png,Unknown_ILLUSTRATION 2.6,Unknown_ILLUSTRATION 2.6.png
page_6_1785375154732.png,Unknown_ILLUSTRATION 2.7,Unknown_ILLUSTRATION 2.7.png
page_7_1785375168718.png,Unknown_ILLUSTRATION 2.8,Unknown_ILLUSTRATION 2.8.png
page_7_1785375173756.png,Unknown_ILLUSTRATION 2.9,Unknown_ILLUSTRATION 2.9.png
page_8_1785375227915.png,Unknown_ILLUSTRATION 2.10,Unknown_ILLUSTRATION 2.10.png
