HospitalID,Admissions,Beds,StaffingLevel,TotalOperatingCost
HOSP_0146,9675,176,784,108307952
HOSP_0147,17932,269,1174,186921669
HOSP_0148,6757,132,447,63046602
HOSP_0149,16944,547,1925,200177815
HOSP_0150,7887,149,492,80777996
HOSP_0151,7394,216,949,110992413
HOSP_0152,8382,142,588,84277708
HOSP_0153,15771,232,652,124049216
HOSP_0154,66447,875,2863,517268388
HOSP_0155,56307,899,2251,486853547
HOSP_0156,29691,568,1485,242551168
HOSP_0157,3206,97,340,40736344
HOSP_0158,31934,433,1861,319487871
HOSP_0159,59846,983,3407,578158007
HOSP_0160,43639,841,3184,425131160
HOSP_0161,60404,858,2460,559888807
HOSP_0162,19886,303,865,148412837
HOSP_0163,66537,947,2820,620759629
HOSP_0164,38916,713,3151,376151943
HOSP_0165,20637,264,677,142759256
HOSP_0166,3435,65,243,36720354
HOSP_0167,19461,334,1151,195522686
HOSP_0168,63588,897,3612,580300582
HOSP_0169,18235,414,1566,234845426
HOSP_0170,54104,892,3387,541810300
HOSP_0171,45302,958,2976,486481296
HOSP_0172,22425,534,1798,256377265
HOSP_0173,3654,76,191,34092623
HOSP_0174,26675,379,991,229140515
HOSP_0175,7025,116,408,67318727
HOSP_0176,19839,497,1499,233863995
HOSP_0177,27083,382,1031,226223200
HOSP_0178,44455,632,2067,417308783
HOSP_0179,4087,66,285,38805534
HOSP_0180,36452,611,2140,369251254
HOSP_0181,2625,75,272,36352277
HOSP_0182,5337,96,402,57755664
HOSP_0183,28899,458,1931,293725409
HOSP_0184,48941,710,2289,422719491
HOSP_0185,35815,480,1511,329603382
HOSP_0186,39563,607,2148,362782129
HOSP_0187,38387,702,2510,380372043
HOSP_0188,35459,516,1815,282656381
HOSP_0189,23665,749,2301,333196542
HOSP_0190,55609,853,2228,457129903
HOSP_0191,50173,950,3775,558651497
HOSP_0192,13283,250,1117,168012488
HOSP_0193,23117,347,1521,205622384
HOSP_0194,41315,878,3493,426788733
HOSP_0195,8978,212,533,85975598
HOSP_0196,9541,123,386,78208886
HOSP_0197,64439,842,3754,691165906
HOSP_0198,12055,269,750,112308077
HOSP_0199,9848,143,444,76365750
HOSP_0200,42687,823,3399,431943943
HOSP_0201,33442,685,2137,345491203
HOSP_0202,5219,83,260,47093056
HOSP_0203,26911,516,2263,313996756
HOSP_0204,30346,518,1629,285934604
HOSP_0205,3714,50,129,26040110
HOSP_0206,11023,237,708,123049679
HOSP_0207,15320,382,1410,168844970
HOSP_0208,6689,101,418,67556562
HOSP_0209,16665,438,1867,198293191
HOSP_0210,13913,206,876,144656410
HOSP_0211,22819,308,1181,230968653
HOSP_0212,60402,953,4164,576426153
HOSP_0213,60461,844,3177,491420859
HOSP_0214,53480,825,3624,586191500
HOSP_0215,71074,929,3720,563462802
HOSP_0216,37104,561,1900,356138783
HOSP_0217,31557,964,4059,492350544
HOSP_0218,36936,680,2090,370784419
HOSP_0219,27122,370,1251,221633469
HOSP_0220,24460,372,1109,187578284
HOSP_0221,30121,580,2151,342396180
HOSP_0222,20917,667,1968,267664461
HOSP_0223,9816,240,671,100736539
HOSP_0224,13012,171,727,127781895
HOSP_0225,7205,114,510,84437689
HOSP_0226,6847,113,458,74098755
HOSP_0227,44218,788,2380,461053970
HOSP_0228,43270,960,2670,414319356
HOSP_0229,56760,831,2435,540814210
HOSP_0230,25483,731,3226,346310995
HOSP_0231,35899,835,2717,409888558
HOSP_0232,20204,335,1330,183696711
HOSP_0233,32062,854,2489,321685165
HOSP_0234,2251,54,181,27828198
HOSP_0235,44037,744,3060,427028956
HOSP_0236,51331,715,2252,494627835
HOSP_0237,70137,935,3230,522878688
HOSP_0238,18317,246,710,134538260
HOSP_0239,18569,289,1031,179196766
HOSP_0240,7538,245,922,100679640
HOSP_0241,23016,649,2042,234571090
HOSP_0242,61346,999,4301,667140509
HOSP_0243,34829,441,1115,239405091
HOSP_0244,26526,718,2701,350851313
HOSP_0245,18043,484,1271,197937736
HOSP_0246,30730,630,2227,349515156
HOSP_0247,10749,286,985,114055220
HOSP_0248,22942,321,947,183568553
HOSP_0249,28649,842,2432,362797910
HOSP_0250,2896,90,262,32697247
HOSP_0251,40878,526,2321,413287553
HOSP_0252,22607,727,2028,296860569
HOSP_0253,33619,451,1320,267521173
HOSP_0254,10158,186,488,81806817
HOSP_0255,45334,593,2457,463324242
HOSP_0256,21278,674,2648,314016802
HOSP_0257,11770,309,1238,159146704
HOSP_0258,32065,425,1354,283516895
HOSP_0259,20479,288,1134,212488104
HOSP_0260,30737,701,2769,403783072
HOSP_0261,8500,147,408,81661977
HOSP_0262,31251,909,3377,422964683
HOSP_0263,26886,581,2603,339348567
HOSP_0264,26330,665,2776,346658787
HOSP_0265,21493,304,1245,214581838
HOSP_0266,21223,502,1313,206013648
HOSP_0267,62488,988,3268,636097705
HOSP_0268,10923,147,589,92913595
HOSP_0269,29567,879,2393,293526654
HOSP_0270,20344,262,1095,185294853
HOSP_0271,3725,112,283,36614032
HOSP_0272,34788,801,3431,406179367
HOSP_0273,39021,938,2771,456444802
HOSP_0274,13803,425,1107,142842215
HOSP_0275,46419,798,3284,493326096
HOSP_0276,12160,167,446,106676328
HOSP_0277,22096,596,1564,245000970
HOSP_0278,37349,571,1845,307598569
HOSP_0279,7543,100,301,56998360
HOSP_0280,7709,182,498,67165028
HOSP_0281,44255,939,3166,503052278
HOSP_0282,14726,266,850,145568076
HOSP_0283,29674,648,2370,354072179
HOSP_0284,26443,854,3011,376012183
HOSP_0285,18114,530,2202,271111000
HOSP_0286,10936,281,1203,153932233
HOSP_0287,26536,338,1269,209470905
HOSP_0288,12002,385,1637,189032232
HOSP_0289,17140,228,659,138333905
HOSP_0290,11417,330,1449,164373808
HOSP_0291,13885,461,1912,213478183
HOSP_0292,25438,444,1271,236346917
HOSP_0293,3547,97,310,41605995
HOSP_0294,26328,369,1017,209041718
HOSP_0295,39435,601,2260,377394018
HOSP_0296,32413,512,1492,318482067
HOSP_0297,35102,503,1466,313909214
HOSP_0298,33198,436,1628,289660577
HOSP_0299,14864,228,604,129194815
HOSP_0300,21272,441,1832,269075847
HOSP_0301,35165,854,2619,371897627
HOSP_0302,7540,121,459,82994676
HOSP_0303,64643,810,3100,501160074
HOSP_0304,35588,853,3785,495301915
HOSP_0305,25082,359,1041,178458919
HOSP_0306,30641,795,3290,415780526
HOSP_0307,21584,523,1741,233089976
HOSP_0308,4224,108,475,54430358
HOSP_0309,18457,340,1358,213905449
HOSP_0310,4269,59,226,41637109
HOSP_0311,72188,985,3449,649945435
HOSP_0312,16443,253,813,147758837
HOSP_0313,31075,712,2008,276464711
HOSP_0314,21777,313,1387,192878465
HOSP_0315,33305,706,2254,298886788
HOSP_0316,23505,341,1332,219355935
HOSP_0317,10052,215,774,99629928
HOSP_0318,35354,814,3650,428713528
HOSP_0319,37792,760,2667,386917077
HOSP_0320,34093,727,3238,359390729
HOSP_0321,41149,668,2328,427531081
HOSP_0322,54631,885,2590,500292588
HOSP_0323,41669,842,2894,484668993
HOSP_0324,27508,728,2615,316240784
HOSP_0325,67033,861,3173,524520760
HOSP_0326,11484,145,549,86348719
HOSP_0327,27242,584,2539,286317870
HOSP_0328,22078,290,764,184201333
HOSP_0329,39041,630,2110,384579053
HOSP_0330,29175,590,1829,285697680
HOSP_0331,45327,746,2765,434590134
HOSP_0332,36720,632,2677,344369954
HOSP_0333,28468,494,1806,260115825
HOSP_0334,41202,528,2263,386320780
HOSP_0335,20247,441,1503,194927378
HOSP_0336,52693,732,2218,414594127
HOSP_0337,28612,933,3402,365055854
HOSP_0338,15936,303,904,165565657
HOSP_0339,7037,146,601,91844246
HOSP_0340,14376,306,866,154465665
HOSP_0341,56940,775,2419,485726013
HOSP_0342,17956,437,1133,174313446
HOSP_0343,25809,650,2851,329454675
HOSP_0344,45333,795,2047,333262714
HOSP_0345,20333,575,1444,186291369
HOSP_0346,3424,74,218,30628320
HOSP_0347,50735,641,1873,399998007
HOSP_0348,17582,261,1097,156466938
HOSP_0349,6288,136,432,64178701
HOSP_0350,20325,646,2898,277186204
HOSP_0351,46080,875,3794,480071593
HOSP_0352,7219,97,311,54432331
HOSP_0353,57297,911,3827,541642798
HOSP_0354,45193,685,2092,433190765
HOSP_0355,5610,124,412,55779441
HOSP_0356,35837,749,3124,359202686
HOSP_0357,53204,932,2816,494604630
HOSP_0358,2421,74,269,31892739
HOSP_0359,3825,66,178,29709254
HOSP_0360,26608,563,1740,259826369
HOSP_0361,15973,502,1782,237749503
HOSP_0362,35282,474,2051,297393170
HOSP_0363,26388,722,2710,307556325
HOSP_0364,6512,85,310,55182559
HOSP_0365,26610,737,2403,306269456
HOSP_0366,13521,412,1756,206340714
HOSP_0367,16957,237,1052,149820943
HOSP_0368,35077,445,1326,295878502
HOSP_0369,35272,580,1723,350846879
HOSP_0370,17552,308,1032,167868420
HOSP_0371,17535,397,1023,190739474
HOSP_0372,12842,237,972,129885873
HOSP_0373,26549,413,1357,226185425
HOSP_0374,68112,940,3974,560175900
HOSP_0375,54608,892,2954,485167013
HOSP_0376,4744,71,220,37411334
HOSP_0377,30990,402,1416,236135141
HOSP_0378,13282,416,1421,174432247
HOSP_0379,27068,640,2435,284710383
HOSP_0380,17666,434,1506,222579123
HOSP_0381,24690,514,1875,277967322
HOSP_0382,56018,962,4234,562939541
HOSP_0383,2864,67,257,31312767
HOSP_0384,24742,580,2605,283301530
HOSP_0385,63056,791,2407,507185242
HOSP_0386,31146,896,2367,347906157
HOSP_0387,23110,521,1911,292416769
HOSP_0388,11852,233,871,143825797
HOSP_0389,46143,654,2286,418804699
HOSP_0390,25101,604,1700,232079024
HOSP_0391,59349,881,2249,413984429
HOSP_0392,18985,514,2037,251704864
HOSP_0393,55434,886,3900,550960775
HOSP_0394,62869,927,3233,499099161
HOSP_0395,28943,538,2355,362915480
HOSP_0396,30256,392,1270,239826060
HOSP_0397,24916,538,1774,271041333
HOSP_0398,7013,137,524,79216726
HOSP_0399,21018,390,1409,222192362
HOSP_0400,44875,697,1883,340004243
HOSP_0401,23014,559,1497,202215531
HOSP_0402,8387,170,657,101427648
HOSP_0403,18646,294,1124,159097114
HOSP_0404,64587,968,2936,569637660
HOSP_0405,55194,751,3107,503098998
HOSP_0406,24701,617,2081,282792852
HOSP_0407,45868,867,2293,461240378
HOSP_0408,10290,338,1244,149105828
HOSP_0409,23259,433,1331,224342661
HOSP_0410,39615,517,1505,300228055
HOSP_0411,30294,766,1996,304726233
HOSP_0412,42491,782,2090,355253863
HOSP_0413,17393,399,1714,238007247
HOSP_0414,26484,825,3164,340592581
HOSP_0415,5549,113,368,61177626
HOSP_0416,41166,557,1999,377091007
HOSP_0417,26947,478,1361,258762686
HOSP_0418,23947,378,1149,227796946
HOSP_0419,15196,203,571,121537712
HOSP_0420,17301,264,1026,164686550
HOSP_0421,36105,841,2448,365551849
HOSP_0422,13263,210,599,124700693
HOSP_0423,11609,214,844,132120798
HOSP_0424,30330,887,2612,336639293
HOSP_0425,28844,391,1444,245161905
HOSP_0426,25662,463,1627,225107710
HOSP_0427,5689,86,264,43384954
HOSP_0428,34551,535,1587,337341562
HOSP_0429,36497,668,2937,364350643
HOSP_0430,7054,215,746,97656037
HOSP_0431,10124,142,613,91831637
HOSP_0432,13372,168,649,128940591
HOSP_0433,21885,530,1537,217879298
HOSP_0434,16892,375,1565,188548658
HOSP_0435,40617,538,1716,340170840
HOSP_0436,4509,72,287,38462472
HOSP_0437,10574,200,886,117186288
HOSP_0438,50980,771,3072,548354885
HOSP_0439,31347,439,1274,255559628
HOSP_0440,52680,668,1845,370995320
HOSP_0441,9336,249,629,86108670
HOSP_0442,22805,618,2679,354529016
HOSP_0443,5116,106,266,50118462
HOSP_0444,7753,138,426,77960379
HOSP_0445,37984,700,1821,374811588
HOSP_0446,18633,282,715,142507148
HOSP_0447,13137,231,1037,150167436
HOSP_0448,33077,700,2581,341045126
HOSP_0449,22727,537,1971,295674736
HOSP_0450,29308,968,3609,391564246
HOSP_0451,4878,149,374,57793249
HOSP_0452,33131,419,1484,249418553
HOSP_0453,3564,62,278,39042116
HOSP_0454,46328,901,2937,414133177
HOSP_0455,57416,788,2739,449543245
HOSP_0456,13003,379,1656,182410135
HOSP_0457,41452,818,2268,396444932
HOSP_0458,23960,782,3451,333481178
HOSP_0459,9499,176,648,84120292
HOSP_0460,9789,142,458,74059597
HOSP_0461,36027,659,1786,341788398
HOSP_0462,19629,417,1186,180953109
HOSP_0463,59684,969,3523,645919739
HOSP_0464,21458,276,738,183582992
HOSP_0465,51155,813,2096,408702584
HOSP_0466,13802,389,1634,207290901
HOSP_0467,51189,908,2816,540550491
HOSP_0468,17814,539,2228,284581324
HOSP_0469,48988,845,3286,508888061
HOSP_0470,28972,716,3160,345079113
HOSP_0471,68516,869,3158,611792576
HOSP_0472,42579,933,3481,546505817
HOSP_0473,15769,381,1237,173550160
HOSP_0474,42535,728,2687,370006077
HOSP_0475,24154,352,1521,231577392
HOSP_0476,45974,728,2573,444600324
HOSP_0477,9333,130,434,74828514
HOSP_0478,31962,982,2883,405296623
HOSP_0479,15567,314,1274,176962484
HOSP_0480,21843,321,1114,200231240
HOSP_0481,2146,69,231,29166333
HOSP_0482,9974,212,945,111962883
HOSP_0483,43581,865,3470,430265694
HOSP_0484,13684,188,567,120761604
HOSP_0485,17096,447,1321,199693852
HOSP_0486,57025,884,2656,487963246
HOSP_0487,4590,114,469,51057489
HOSP_0488,4516,105,412,53319679
HOSP_0489,10595,348,1514,155545719
HOSP_0490,44684,847,3636,534088964
HOSP_0491,29528,424,1234,250145104
HOSP_0492,59758,763,2242,506573948
HOSP_0493,30545,411,1653,243297105
HOSP_0494,32182,612,1593,269899634
HOSP_0495,15179,360,1024,150773338
HOSP_0496,63681,952,2940,593870911
HOSP_0497,7450,119,348,64606006
HOSP_0498,4123,98,337,44611525
HOSP_0499,41259,827,2298,433385188
HOSP_0500,10530,306,838,131699100
HOSP_0501,21403,522,2343,298369720
HOSP_0502,41997,732,3273,462360689
HOSP_0503,20377,443,1634,228110235
HOSP_0504,28800,873,3076,383450444
HOSP_0505,3840,79,340,48903321
HOSP_0506,20793,619,1747,242959134
HOSP_0507,33914,451,1830,304747342
HOSP_0508,13425,201,655,110295463
HOSP_0509,35629,448,1327,300138827
HOSP_0510,9466,286,1195,145578768
HOSP_0511,7433,200,832,111934720
HOSP_0512,38672,689,1978,324616270
HOSP_0513,10950,318,1004,126769064
HOSP_0514,28054,540,1720,288058389
HOSP_0515,60839,863,3701,589985689
HOSP_0516,54208,896,2873,543347500
HOSP_0517,20299,301,850,166855697
HOSP_0518,53930,719,3153,442965140
HOSP_0519,6288,105,323,48817940
HOSP_0520,35744,490,2124,379805335
HOSP_0521,55506,986,4027,638024239
HOSP_0522,14813,472,1567,198234440
HOSP_0523,54959,961,3731,602798224
HOSP_0524,37239,719,3081,476433338
HOSP_0525,5781,128,537,76954129
HOSP_0526,14805,282,1013,140632736
HOSP_0527,49882,911,3712,609649817
HOSP_0528,43724,876,2880,439533859
HOSP_0529,55426,843,2577,413780777
HOSP_0530,22242,311,1286,188895945
HOSP_0531,20737,289,741,153426348
HOSP_0532,21002,305,1306,212092291
HOSP_0533,12717,278,891,129002393
HOSP_0534,11516,238,966,149675289
HOSP_0535,10940,304,1171,128833134
HOSP_0536,17364,256,678,123802889
HOSP_0537,37118,769,2550,336891472
HOSP_0538,18477,424,1207,191743079
HOSP_0539,17302,437,1177,178307582
HOSP_0540,33418,653,1759,302786718
HOSP_0541,2228,61,184,23444898
HOSP_0542,4759,61,230,47014286
HOSP_0543,51072,695,2029,379176569
HOSP_0544,45241,988,3591,451609209
HOSP_0545,48248,920,3751,529360014
HOSP_0546,50603,987,4096,624828287
HOSP_0547,50825,729,2942,533081061
HOSP_0548,4427,131,571,58613426
HOSP_0549,25226,361,1279,230822180
HOSP_0550,30022,780,2096,318158622
HOSP_0551,44929,707,2584,381120777
HOSP_0552,19438,547,2424,290830256
HOSP_0553,3934,120,308,37198506
HOSP_0554,23684,300,1115,235227788
HOSP_0555,34215,831,2998,453661093
HOSP_0556,44144,858,3142,480431896
HOSP_0557,46017,817,3615,562487193
HOSP_0558,33057,744,2412,388687683
HOSP_0559,35180,949,3281,437327395
HOSP_0560,31530,1000,4213,450012147
HOSP_0561,32876,554,2350,377226257
HOSP_0562,24819,516,2087,322426069
HOSP_0563,40268,734,3123,495133080
HOSP_0564,19760,321,886,182700880
HOSP_0565,29756,549,1483,251242818
HOSP_0566,11770,222,826,118418135
HOSP_0567,16997,297,1209,179311047
HOSP_0568,35498,495,1264,311661958
HOSP_0569,65472,837,2311,458407960
HOSP_0570,38842,673,2042,359047782
HOSP_0571,27881,904,3384,339490632
HOSP_0572,29507,821,2406,345910751
HOSP_0573,18502,523,1631,233273743
HOSP_0574,13335,325,1111,147175694
HOSP_0575,25628,558,1676,254430676
HOSP_0576,32636,670,2748,350037919
HOSP_0577,13173,231,876,145418413
HOSP_0578,25493,395,1197,197584297
HOSP_0579,40997,845,2672,393814828
HOSP_0580,6373,81,321,52242757
HOSP_0581,27333,607,2268,287740657
HOSP_0582,15269,321,977,148960438
HOSP_0583,46481,650,1928,399719364
HOSP_0584,16735,246,749,124519231
HOSP_0585,13739,225,614,102438893
HOSP_0586,62619,827,2212,543358895
HOSP_0587,10082,156,611,86628197
HOSP_0588,46469,992,4160,624854934
HOSP_0589,22481,569,1750,277943317
HOSP_0590,20146,314,1107,176360194
HOSP_0591,21942,522,1615,218093040
HOSP_0592,12834,302,1276,150136844
HOSP_0593,45958,891,3883,557494890
HOSP_0594,63178,923,3604,668513312
HOSP_0595,9143,286,775,91094098
HOSP_0596,7241,165,733,104817335
HOSP_0597,26970,840,3269,428133327
HOSP_0598,36393,758,3300,453628520
HOSP_0599,2724,73,243,33657970
HOSP_0600,48210,848,3415,516075978
HOSP_0601,38979,714,2784,411728059
HOSP_0602,26193,358,1583,235120455
HOSP_0603,26745,545,2052,280124092
HOSP_0604,11261,355,1482,184493032
HOSP_0605,21994,283,781,191465570
HOSP_0606,24201,303,958,208067224
HOSP_0607,21169,267,891,165446451
HOSP_0608,10626,351,983,140202403
HOSP_0609,61355,883,2975,483500058
HOSP_0610,39191,866,2203,325151820
HOSP_0611,9808,312,1314,165507169
HOSP_0612,28347,604,1932,253768994
HOSP_0613,28468,470,1797,301971153
HOSP_0614,46733,906,2988,475833955
HOSP_0615,30522,640,1724,283508474
HOSP_0616,26890,418,1117,246246996
HOSP_0617,55716,964,3841,533726644
HOSP_0618,30697,566,1612,301678732
HOSP_0619,13269,216,942,122078223
HOSP_0620,29488,420,1863,313469307
HOSP_0621,5406,70,245,46464685
HOSP_0622,28759,412,1786,242867800
HOSP_0623,10151,177,704,93254697
HOSP_0624,18059,452,2012,220287904
HOSP_0625,22599,306,1084,209619627
HOSP_0626,4957,144,416,53640719
HOSP_0627,33121,609,2123,315453017
HOSP_0628,8381,204,748,87852034
HOSP_0629,15956,351,976,172527162
HOSP_0630,22081,291,785,160738597
HOSP_0631,76601,968,4097,791202360
HOSP_0632,57223,835,2728,500811035
HOSP_0633,24436,381,1092,235322713
HOSP_0634,17800,356,1448,194057492
HOSP_0635,19222,310,1252,196921650
HOSP_0636,31617,419,1438,291145587
HOSP_0637,25214,526,2344,289772216
HOSP_0638,29645,452,1403,250237952
HOSP_0639,14684,287,792,142194729
HOSP_0640,54890,972,3381,562275200
HOSP_0641,7394,136,563,78289110
HOSP_0642,37852,890,3828,453506219
HOSP_0643,10820,349,1482,177906968
HOSP_0644,7252,147,473,67884661
HOSP_0645,18529,313,1398,171797784
HOSP_0646,5827,109,407,66528805
HOSP_0647,9818,158,452,85806613
HOSP_0648,20077,346,1368,209264560
HOSP_0649,55976,775,3283,548941753
HOSP_0650,20937,565,1907,239520975
HOSP_0651,49703,742,3074,530563438
HOSP_0652,42783,737,2714,427789141
HOSP_0653,2034,61,226,29985600
HOSP_0654,24748,360,1481,222036050
HOSP_0655,32325,942,3847,422319634
HOSP_0656,41190,891,3747,445068317
HOSP_0657,24265,565,1671,270614098
HOSP_0658,7208,106,383,68381567
HOSP_0659,50814,759,2164,371783026
HOSP_0660,43062,619,1647,372493249
HOSP_0661,42453,629,2006,356424713
HOSP_0662,35813,628,1923,317961277
HOSP_0663,28037,375,1504,235504552
HOSP_0664,14662,242,884,159756618
HOSP_0665,74606,996,4193,662662194
HOSP_0666,27772,371,1288,233266880
HOSP_0667,28222,413,1103,221383053
HOSP_0668,18585,448,1523,226882360
HOSP_0669,61321,979,4241,651672132
HOSP_0670,37617,834,2219,350817085
HOSP_0671,16432,421,1749,228561052
HOSP_0672,2450,67,218,27627527
HOSP_0673,14243,200,717,135425832
HOSP_0674,27954,416,1339,265703750
HOSP_0675,45330,809,3196,437660681
HOSP_0676,10520,168,532,100410592
HOSP_0677,35277,630,2194,393375364
HOSP_0678,31065,500,1898,287349841
HOSP_0679,45053,604,2259,391409783
HOSP_0680,5962,191,829,81529714
HOSP_0681,36082,692,2525,403046646
HOSP_0682,8682,159,448,80713681
HOSP_0683,56923,886,3115,469719116
HOSP_0684,7118,122,436,77221694
HOSP_0685,42397,965,2765,485859033
HOSP_0686,67273,894,3852,636679461
HOSP_0687,15114,285,743,117171391
HOSP_0688,38591,619,1966,324471954
HOSP_0689,40756,572,1662,335801349
HOSP_0690,23372,731,2065,261024238
HOSP_0691,28231,777,1948,294891875
HOSP_0692,10670,171,576,97007265
HOSP_0693,18110,236,1027,149158696
HOSP_0694,19773,381,1533,193613907
HOSP_0695,12123,241,1023,127781653
HOSP_0696,7855,166,694,79725671
HOSP_0697,49329,889,3235,558427382
HOSP_0698,9148,120,452,91279173
HOSP_0699,50892,656,2681,461521737
HOSP_0700,33655,756,2479,402692163
HOSP_0701,16580,338,1463,181506386
HOSP_0702,12054,247,668,108046735
HOSP_0703,46597,829,2703,448825788
HOSP_0704,43265,875,2919,466758379
HOSP_0705,12318,256,711,115851635
HOSP_0706,30213,406,1803,303445141
