SaleReceiptNo,Saledate,InvCode,NoSold,InvDesc,InvPrice,InvCost,TotalSales,TotalCost
R00133,2025-07-05,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00134,2025-07-03,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00135,2025-01-27,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00136,2025-01-03,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00137,2025-12-08,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00138,2025-04-23,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00139,2025-03-31,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00140,2025-07-22,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00141,2025-09-26,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00142,2025-08-24,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00143,2025-10-10,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00144,2025-10-27,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00145,2025-04-15,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00146,2025-02-10,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00147,2025-09-26,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00148,2025-08-30,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00149,2025-02-28,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00150,2025-06-20,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00151,2025-06-13,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00152,2025-11-16,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00153,2025-06-02,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00154,2025-09-21,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00155,2025-06-04,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00156,2025-11-19,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00157,2025-08-02,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00158,2025-05-22,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00159,2025-04-03,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00160,2025-10-20,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00161,2025-01-22,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00162,2025-03-22,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00163,2025-02-21,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00164,2025-10-31,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00165,2025-01-08,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00166,2025-03-20,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00167,2025-09-30,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00168,2025-01-12,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00169,2025-07-05,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00170,2025-12-28,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00171,2025-04-11,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00172,2025-07-28,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00173,2025-11-18,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00174,2025-06-29,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00175,2025-01-24,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00176,2025-02-13,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00177,2025-12-21,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00178,2025-10-29,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00179,2025-10-16,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00180,2025-09-06,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00181,2025-07-14,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00182,2025-02-16,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00183,2025-08-03,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00184,2025-09-13,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00185,2025-02-24,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00186,2025-05-12,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00187,2025-06-15,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00188,2025-02-21,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00189,2025-05-20,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00190,2025-08-17,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00191,2025-09-04,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00192,2025-06-17,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00193,2025-01-24,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00194,2025-06-01,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00195,2025-01-22,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00196,2025-03-01,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00197,2025-08-28,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00198,2025-03-06,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00199,2025-02-20,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00200,2025-11-03,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00201,2025-08-25,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00202,2025-06-06,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00203,2025-07-22,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00204,2025-03-26,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00205,2025-06-15,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00206,2025-01-04,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00207,2025-12-05,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00208,2025-10-30,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00209,2025-06-30,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00210,2025-10-20,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00211,2025-08-09,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00212,2025-04-23,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00213,2025-06-20,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00214,2025-06-27,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00215,2025-04-30,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00216,2025-05-06,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00217,2025-06-17,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00218,2025-04-26,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00219,2025-07-18,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00220,2025-12-05,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00221,2025-06-17,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00222,2025-05-25,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00223,2025-12-09,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00224,2025-09-22,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00225,2025-09-29,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00226,2025-06-06,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00227,2025-09-22,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00228,2025-07-10,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00229,2025-05-16,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00230,2025-09-07,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00231,2025-01-31,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00232,2025-01-03,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00233,2025-12-04,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00234,2025-11-08,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00235,2025-04-28,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00236,2025-03-13,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00237,2025-01-22,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00238,2025-07-09,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00239,2025-08-10,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00240,2025-01-30,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00241,2025-02-01,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00242,2025-01-16,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00243,2025-03-19,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00244,2025-08-23,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00245,2025-04-19,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00246,2025-01-26,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00247,2025-10-14,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00248,2025-07-08,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00249,2025-09-14,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00250,2025-12-15,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00251,2025-01-24,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00252,2025-07-15,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00253,2025-11-08,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00254,2025-03-01,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00255,2025-09-20,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00256,2025-11-08,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00257,2025-03-14,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00258,2025-07-28,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00259,2025-07-26,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00260,2025-03-04,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00261,2025-08-25,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00262,2025-08-12,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00263,2025-03-14,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00264,2025-11-24,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00265,2025-12-28,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00266,2025-10-31,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00267,2025-11-08,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00268,2025-05-02,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00269,2025-04-26,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00270,2025-06-15,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00271,2025-08-18,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00272,2025-06-01,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00273,2025-05-15,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00274,2025-11-17,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00275,2025-11-21,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00276,2025-06-27,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00277,2025-01-28,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00278,2025-08-30,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00279,2025-05-18,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00280,2025-12-15,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00281,2025-04-02,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00282,2025-03-31,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00283,2025-03-20,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00284,2025-06-27,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00285,2025-08-26,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00286,2025-08-24,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00287,2025-07-15,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00288,2025-08-15,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00289,2025-01-03,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00290,2025-09-16,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00291,2025-03-31,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00292,2025-09-16,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00293,2025-11-16,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00294,2025-10-16,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00295,2025-07-06,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00296,2025-06-16,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00297,2025-04-06,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00298,2025-07-30,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00299,2025-08-01,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00300,2025-09-24,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00301,2025-11-06,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00302,2025-07-18,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00303,2025-02-08,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00304,2025-07-10,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00305,2025-11-09,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00306,2025-03-08,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00307,2025-02-23,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00308,2025-04-01,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00309,2025-02-21,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00310,2025-12-30,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00311,2025-09-13,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00312,2025-01-09,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00313,2025-07-21,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00314,2025-01-25,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00315,2025-11-16,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00316,2025-01-17,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00317,2025-11-26,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00318,2025-10-26,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00319,2025-04-23,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00320,2025-03-18,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00321,2025-09-28,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00322,2025-06-18,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00323,2025-06-19,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00324,2025-01-12,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00325,2025-11-15,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00326,2025-07-08,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00327,2025-01-29,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00328,2025-06-19,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00329,2025-07-13,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00330,2025-07-03,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00331,2025-04-07,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00332,2025-05-09,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00333,2025-11-01,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00334,2025-10-26,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00335,2025-10-10,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00336,2025-07-15,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
