VendorName,PaymentDate,PaymentAmount
Aecom Technical Services Inc.,2025-06-08,4249.99
Winston Water Cooler Ltd.,2024-09-27,6571.58
Winston Water Cooler Ltd.,2025-10-01,5765.45
WRG LLC,2024-08-09,4972.66
Zoetis Inc.,2024-03-25,1894.88
Zoetis Inc.,2024-02-16,8475.08
Zoetis Inc.,2025-11-22,3808.47
Zoetis Inc.,2025-04-05,7598.09
Aecom Technical Services Inc.,2025-07-03,4559.31
Zoetis Inc.,2025-12-07,1291.96
Aecom Technical Services Inc.,2025-12-09,3135.82
Zoetis Inc.,2024-01-05,5052.05
Aecom Technical Services Inc.,2024-03-09,3937.87
Aecom Technical Services Inc.,2025-11-14,1931.29
Aecom Technical Services Inc.,2024-05-28,3468.01
4-Star Hose & Supply,2025-09-07,515.55
WRG LLC,2025-03-28,4370.36
WRG LLC,2024-08-31,7123.95
4-Star Hose & Supply,2025-11-27,3874.84
4-Star Hose & Supply,2024-08-26,4636.93
Aecom Technical Services Inc.,2024-07-25,2160.34
Zoetis Inc.,2025-10-17,1077.39
WRG LLC,2025-08-19,4830.5
Zoetis Inc.,2025-05-20,8150.6
Zoetis Inc.,2024-03-13,6131.91
Winston Water Cooler Ltd.,2024-11-17,4773.79
Winston Water Cooler Ltd.,2024-07-27,2437.73
Zoetis Inc.,2025-05-07,2865.63
4-Star Hose & Supply,2025-06-07,6310.98
4-Star Hose & Supply,2025-11-13,8015.23
Zoetis Inc.,2025-06-15,1859.8
Aecom Technical Services Inc.,2025-07-15,9074.35
WRG LLC,2024-11-17,1105.95
4-Star Hose & Supply,2025-02-11,6770.19
Winston Water Cooler Ltd.,2025-07-09,6061.6
WRG LLC,2024-01-12,2093.65
Winston Water Cooler Ltd.,2025-09-06,7620.25
4-Star Hose & Supply,2024-10-18,1322.9
Zoetis Inc.,2024-05-03,7802.21
Aecom Technical Services Inc.,2024-06-09,9210.73
4-Star Hose & Supply,2025-06-26,2314.76
Aecom Technical Services Inc.,2025-11-22,9643.19
Aecom Technical Services Inc.,2024-09-05,2047.26
Aecom Technical Services Inc.,2024-05-02,3576.95
Zoetis Inc.,2024-12-11,769.2
WRG LLC,2024-05-07,8746.09
Winston Water Cooler Ltd.,2025-07-31,9736.96
4-Star Hose & Supply,2025-06-04,2260.94
4-Star Hose & Supply,2024-11-12,1140.39
Winston Water Cooler Ltd.,2025-09-22,6533.41
Aecom Technical Services Inc.,2024-07-28,8622.79
Aecom Technical Services Inc.,2024-04-15,9006.26
4-Star Hose & Supply,2024-12-06,7907.67
Zoetis Inc.,2024-08-28,1347.46
Winston Water Cooler Ltd.,2024-05-29,4515.58
Aecom Technical Services Inc.,2024-02-04,6643.63
WRG LLC,2025-07-25,7173.63
Winston Water Cooler Ltd.,2025-02-02,7227.01
WRG LLC,2025-07-06,7171.35
Zoetis Inc.,2025-04-13,5563.98
Zoetis Inc.,2025-09-18,8244.77
Zoetis Inc.,2025-09-23,729.18
4-Star Hose & Supply,2025-08-22,621.3
WRG LLC,2024-09-11,9425.83
Aecom Technical Services Inc.,2024-05-16,6339.76
WRG LLC,2025-06-30,5570.79
Zoetis Inc.,2025-04-13,3167.32
Aecom Technical Services Inc.,2024-04-04,1794.26
Aecom Technical Services Inc.,2025-07-09,2010.45
WRG LLC,2024-01-07,9725.19
4-Star Hose & Supply,2025-03-20,4378.6
Zoetis Inc.,2024-04-20,4657.35
Zoetis Inc.,2025-12-29,703.0
4-Star Hose & Supply,2025-01-01,6078.36
Winston Water Cooler Ltd.,2024-01-03,9709.76
Zoetis Inc.,2024-01-26,3313.64
Aecom Technical Services Inc.,2025-03-10,9791.51
Zoetis Inc.,2024-12-12,8614.77
4-Star Hose & Supply,2025-11-08,6484.61
Winston Water Cooler Ltd.,2024-07-11,1802.47
Zoetis Inc.,2024-06-03,8934.78
4-Star Hose & Supply,2025-08-16,1123.11
Winston Water Cooler Ltd.,2024-08-23,7540.67
Zoetis Inc.,2025-02-05,1957.0
Zoetis Inc.,2024-03-31,9263.06
4-Star Hose & Supply,2024-01-07,2991.11
Zoetis Inc.,2025-12-27,7558.43
4-Star Hose & Supply,2025-08-16,9622.46
WRG LLC,2024-04-04,1058.39
4-Star Hose & Supply,2025-02-09,9718.96
WRG LLC,2024-11-16,1980.19
WRG LLC,2025-05-31,623.64
Aecom Technical Services Inc.,2025-09-03,7302.61
Aecom Technical Services Inc.,2024-08-25,5494.37
Winston Water Cooler Ltd.,2025-10-29,6082.61
Winston Water Cooler Ltd.,2024-04-10,4308.34
Winston Water Cooler Ltd.,2024-09-04,8530.65
4-Star Hose & Supply,2025-10-02,5073.34
Zoetis Inc.,2024-05-08,3057.76
Zoetis Inc.,2025-01-06,4104.53
Winston Water Cooler Ltd.,2025-04-19,3986.63
Winston Water Cooler Ltd.,2024-03-27,1497.6
4-Star Hose & Supply,2025-09-04,9408.88
4-Star Hose & Supply,2024-09-01,2264.43
Zoetis Inc.,2025-09-15,965.82
Zoetis Inc.,2025-12-23,7084.11
4-Star Hose & Supply,2025-11-23,5478.1
Zoetis Inc.,2025-07-24,4231.03
4-Star Hose & Supply,2024-04-05,8358.68
WRG LLC,2025-05-28,7781.29
WRG LLC,2025-01-18,4028.4
Aecom Technical Services Inc.,2024-01-08,1023.67
Aecom Technical Services Inc.,2024-06-11,5942.17
WRG LLC,2024-02-22,4843.72
WRG LLC,2025-02-20,6715.11
WRG LLC,2024-09-01,7026.07
4-Star Hose & Supply,2024-05-19,934.5
4-Star Hose & Supply,2024-04-17,892.28
Winston Water Cooler Ltd.,2024-09-21,8953.97
Aecom Technical Services Inc.,2025-11-28,6327.39
Winston Water Cooler Ltd.,2025-01-16,3043.16
4-Star Hose & Supply,2024-11-04,9514.95
4-Star Hose & Supply,2025-06-19,1641.04
4-Star Hose & Supply,2024-05-29,2064.62
Zoetis Inc.,2025-07-15,7508.86
Winston Water Cooler Ltd.,2025-06-04,4379.48
4-Star Hose & Supply,2025-06-29,1737.77
Aecom Technical Services Inc.,2025-02-13,6768.31
Winston Water Cooler Ltd.,2024-01-10,3675.36
4-Star Hose & Supply,2025-04-13,3339.39
Winston Water Cooler Ltd.,2024-07-13,1191.26
Aecom Technical Services Inc.,2024-10-18,4248.31
Winston Water Cooler Ltd.,2024-08-08,9522.49
4-Star Hose & Supply,2024-06-09,1291.55
4-Star Hose & Supply,2025-07-20,7005.84
Winston Water Cooler Ltd.,2024-08-07,2444.72
Aecom Technical Services Inc.,2025-04-28,5422.51
Winston Water Cooler Ltd.,2025-07-12,8340.56
Aecom Technical Services Inc.,2024-04-27,3300.11
WRG LLC,2024-11-06,4536.5
Winston Water Cooler Ltd.,2025-05-12,9203.53
Zoetis Inc.,2024-03-25,9806.54
Aecom Technical Services Inc.,2025-04-03,1071.87
Zoetis Inc.,2024-06-20,5453.51
Aecom Technical Services Inc.,2024-11-15,2829.33
Winston Water Cooler Ltd.,2024-04-17,8193.92
4-Star Hose & Supply,2024-05-07,631.18
4-Star Hose & Supply,2024-02-01,6461.52
Zoetis Inc.,2025-10-17,4156.56
Winston Water Cooler Ltd.,2025-10-16,7726.35
WRG LLC,2025-10-22,9339.98
WRG LLC,2025-03-10,9328.02
4-Star Hose & Supply,2025-09-12,5359.13
4-Star Hose & Supply,2025-02-16,8375.05
Aecom Technical Services Inc.,2025-08-25,3941.98
Aecom Technical Services Inc.,2024-07-24,2744.39
Zoetis Inc.,2025-09-24,4767.2
Zoetis Inc.,2024-12-01,2734.38
Zoetis Inc.,2024-04-06,4058.12
Aecom Technical Services Inc.,2024-08-02,4590.9
4-Star Hose & Supply,2025-10-13,6326.36
WRG LLC,2024-10-03,5692.21
Aecom Technical Services Inc.,2024-01-16,8600.84
4-Star Hose & Supply,2025-01-25,2610.02
Aecom Technical Services Inc.,2024-07-24,4522.96
Winston Water Cooler Ltd.,2025-08-16,8867.95
Aecom Technical Services Inc.,2024-03-19,633.63
4-Star Hose & Supply,2025-10-11,570.78
4-Star Hose & Supply,2024-09-29,5266.43
4-Star Hose & Supply,2025-03-11,8411.59
Zoetis Inc.,2024-10-24,1247.56
4-Star Hose & Supply,2024-02-21,2935.15
4-Star Hose & Supply,2025-11-13,7372.91
WRG LLC,2025-11-11,9448.79
4-Star Hose & Supply,2025-02-02,8449.26
Zoetis Inc.,2025-08-24,9884.09
4-Star Hose & Supply,2024-11-01,4227.63
Aecom Technical Services Inc.,2025-11-08,9520.05
4-Star Hose & Supply,2025-05-22,4430.17
4-Star Hose & Supply,2024-08-08,1036.94
WRG LLC,2025-06-04,4015.44
WRG LLC,2024-03-08,6391.24
Winston Water Cooler Ltd.,2024-02-04,555.84
4-Star Hose & Supply,2024-08-20,4658.28
WRG LLC,2025-07-07,5581.98
Aecom Technical Services Inc.,2025-04-19,3892.6
Aecom Technical Services Inc.,2025-01-27,6833.36
Aecom Technical Services Inc.,2025-08-25,6916.14
Aecom Technical Services Inc.,2025-02-04,7853.58
Zoetis Inc.,2024-05-14,9360.32
WRG LLC,2024-08-10,3295.06
Aecom Technical Services Inc.,2024-11-01,2592.84
WRG LLC,2024-10-14,1498.96
Zoetis Inc.,2024-02-13,637.6
Zoetis Inc.,2024-02-23,7875.67
WRG LLC,2024-02-21,689.72
Zoetis Inc.,2024-03-29,4235.82
Aecom Technical Services Inc.,2024-10-04,8280.61
WRG LLC,2024-06-27,6843.9
WRG LLC,2025-01-04,7642.83
Zoetis Inc.,2025-08-28,4585.21
4-Star Hose & Supply,2024-11-07,7612.95
Winston Water Cooler Ltd.,2024-04-14,2911.01
Winston Water Cooler Ltd.,2024-09-14,9921.25
4-Star Hose & Supply,2024-02-16,2209.51
Aecom Technical Services Inc.,2025-10-21,6076.48
Zoetis Inc.,2024-05-25,2180.19
4-Star Hose & Supply,2025-08-18,6310.69
4-Star Hose & Supply,2025-11-21,1013.52
WRG LLC,2025-12-14,4059.09
4-Star Hose & Supply,2025-11-10,4758.33
WRG LLC,2024-01-15,2582.11
Winston Water Cooler Ltd.,2024-01-07,1627.82
Zoetis Inc.,2024-07-29,5942.04
Aecom Technical Services Inc.,2024-08-31,7393.18
Aecom Technical Services Inc.,2025-10-28,2997.49
WRG LLC,2024-06-10,605.55
Aecom Technical Services Inc.,2025-03-29,1440.53
Winston Water Cooler Ltd.,2025-01-01,9078.33
Winston Water Cooler Ltd.,2025-07-28,3564.69
Winston Water Cooler Ltd.,2024-08-27,3003.43
Winston Water Cooler Ltd.,2025-07-06,740.32
Winston Water Cooler Ltd.,2024-09-14,7927.01
4-Star Hose & Supply,2025-04-23,3721.1
4-Star Hose & Supply,2024-06-18,1890.93
Winston Water Cooler Ltd.,2024-08-04,7799.46
Zoetis Inc.,2024-05-16,3113.44
Winston Water Cooler Ltd.,2024-05-22,8574.11
Winston Water Cooler Ltd.,2025-12-25,9369.84
4-Star Hose & Supply,2024-08-05,4353.83
Winston Water Cooler Ltd.,2025-09-15,5914.57
Winston Water Cooler Ltd.,2025-12-27,9281.87
Aecom Technical Services Inc.,2025-07-06,3445.76
Winston Water Cooler Ltd.,2024-04-03,5085.64
4-Star Hose & Supply,2025-06-26,9343.46
Aecom Technical Services Inc.,2025-01-23,5786.96
4-Star Hose & Supply,2024-04-07,5742.82
Winston Water Cooler Ltd.,2024-02-11,5208.89
Zoetis Inc.,2025-11-04,3584.07
4-Star Hose & Supply,2025-02-10,4213.92
Aecom Technical Services Inc.,2025-01-16,743.5
4-Star Hose & Supply,2024-12-12,3736.99
4-Star Hose & Supply,2025-05-22,8980.04
Winston Water Cooler Ltd.,2025-02-28,5987.91
Zoetis Inc.,2024-04-22,7463.33
Zoetis Inc.,2024-04-28,3233.11
Zoetis Inc.,2025-03-09,1070.77
Winston Water Cooler Ltd.,2024-01-26,7703.74
Zoetis Inc.,2024-07-19,9696.17
Aecom Technical Services Inc.,2024-10-03,965.06
Winston Water Cooler Ltd.,2024-01-03,6550.42
Aecom Technical Services Inc.,2025-07-28,5943.82
Aecom Technical Services Inc.,2024-04-03,5849.31
4-Star Hose & Supply,2024-05-07,5534.28
WRG LLC,2025-08-12,4665.3
4-Star Hose & Supply,2025-11-07,5758.97
Zoetis Inc.,2025-03-02,4702.23
4-Star Hose & Supply,2024-05-15,1085.67
Aecom Technical Services Inc.,2025-02-17,7959.32
WRG LLC,2024-11-12,1426.83
WRG LLC,2025-11-24,2171.58
Zoetis Inc.,2024-11-18,6085.17
Aecom Technical Services Inc.,2025-06-07,7562.88
Winston Water Cooler Ltd.,2024-10-04,2243.08
4-Star Hose & Supply,2024-12-18,3374.88
Zoetis Inc.,2025-04-08,9236.24
Aecom Technical Services Inc.,2025-05-06,4464.47
Winston Water Cooler Ltd.,2025-06-11,1777.82
Winston Water Cooler Ltd.,2024-06-30,2093.76
Zoetis Inc.,2024-05-14,1032.81
Zoetis Inc.,2025-10-04,3251.05
Zoetis Inc.,2025-11-08,8312.54
Zoetis Inc.,2025-07-11,1819.28
Aecom Technical Services Inc.,2024-05-24,9261.23
Aecom Technical Services Inc.,2024-04-23,7549.12
Zoetis Inc.,2025-04-20,9818.57
4-Star Hose & Supply,2024-08-22,4282.2
Winston Water Cooler Ltd.,2025-05-08,1134.78
4-Star Hose & Supply,2025-12-10,3461.76
WRG LLC,2025-09-10,8484.7
WRG LLC,2024-07-20,7261.56
Aecom Technical Services Inc.,2025-08-09,9711.06
4-Star Hose & Supply,2025-11-18,4916.13
4-Star Hose & Supply,2025-03-14,4933.53
Winston Water Cooler Ltd.,2024-10-28,8930.26
Zoetis Inc.,2025-09-12,9327.35
4-Star Hose & Supply,2025-04-15,3973.14
WRG LLC,2025-06-22,7102.04
Zoetis Inc.,2024-04-15,4101.95
WRG LLC,2025-03-23,7367.5
Winston Water Cooler Ltd.,2025-06-14,2911.89
Winston Water Cooler Ltd.,2025-02-06,3136.02
Zoetis Inc.,2025-01-07,5825.2
4-Star Hose & Supply,2025-03-19,4628.92
WRG LLC,2024-03-18,5629.96
Zoetis Inc.,2024-12-17,6030.47
Winston Water Cooler Ltd.,2024-12-28,5440.71
Winston Water Cooler Ltd.,2024-01-04,1072.33
Zoetis Inc.,2024-02-07,8532.5
WRG LLC,2024-01-02,6678.14
WRG LLC,2025-05-19,9409.94
WRG LLC,2024-07-15,7541.53
4-Star Hose & Supply,2024-12-07,6736.05
Zoetis Inc.,2024-03-29,2350.61
Winston Water Cooler Ltd.,2024-02-13,6531.09
4-Star Hose & Supply,2024-07-26,5820.87
Winston Water Cooler Ltd.,2025-02-16,9829.18
Winston Water Cooler Ltd.,2024-07-02,8089.65
Zoetis Inc.,2024-12-04,9514.19
4-Star Hose & Supply,2025-05-27,8507.09
4-Star Hose & Supply,2024-12-20,8878.42
Winston Water Cooler Ltd.,2024-10-16,3474.33
WRG LLC,2025-09-08,8804.83
Zoetis Inc.,2024-01-02,979.05
4-Star Hose & Supply,2025-11-03,7873.96
Zoetis Inc.,2025-05-10,4228.55
Zoetis Inc.,2025-02-13,6186.13
Winston Water Cooler Ltd.,2024-05-24,9509.29
Zoetis Inc.,2025-01-13,6138.65
WRG LLC,2025-05-18,4491.78
WRG LLC,2024-05-30,2167.15
Winston Water Cooler Ltd.,2024-11-04,5772.7
WRG LLC,2025-07-16,5918.65
Aecom Technical Services Inc.,2025-10-08,8927.94
WRG LLC,2024-04-25,7704.16
Aecom Technical Services Inc.,2025-01-16,7963.03
WRG LLC,2024-11-24,7035.8
Winston Water Cooler Ltd.,2025-05-27,7764.32
Zoetis Inc.,2024-05-15,2859.46
Zoetis Inc.,2024-05-06,8598.93
WRG LLC,2025-02-14,6303.59
Aecom Technical Services Inc.,2025-11-10,9237.22
Aecom Technical Services Inc.,2024-07-23,2257.64
Aecom Technical Services Inc.,2024-09-07,4435.92
Aecom Technical Services Inc.,2024-03-07,1938.04
4-Star Hose & Supply,2025-08-03,6792.22
4-Star Hose & Supply,2025-08-24,1709.86
Aecom Technical Services Inc.,2025-08-05,527.02
WRG LLC,2025-06-07,2076.04
Winston Water Cooler Ltd.,2025-08-17,3204.39
Aecom Technical Services Inc.,2024-06-26,2483.43
4-Star Hose & Supply,2024-08-12,4955.28
Aecom Technical Services Inc.,2024-11-13,8530.06
WRG LLC,2025-11-17,1479.91
Aecom Technical Services Inc.,2025-11-03,8711.98
WRG LLC,2024-04-20,4408.61
Aecom Technical Services Inc.,2025-10-09,8724.33
Zoetis Inc.,2025-03-18,2773.97
4-Star Hose & Supply,2024-08-15,5310.81
Aecom Technical Services Inc.,2024-04-23,8290.67
WRG LLC,2024-09-09,4842.42
Winston Water Cooler Ltd.,2025-07-25,1255.73
WRG LLC,2025-04-17,655.43
Aecom Technical Services Inc.,2025-06-27,6187.09
4-Star Hose & Supply,2025-11-15,1573.78
Zoetis Inc.,2024-04-25,3626.16
Aecom Technical Services Inc.,2025-03-10,9386.41
Zoetis Inc.,2025-01-29,5413.34
WRG LLC,2025-05-21,1694.3
Winston Water Cooler Ltd.,2024-11-26,6128.41
Aecom Technical Services Inc.,2025-05-01,5516.44
Aecom Technical Services Inc.,2024-12-22,5058.55
WRG LLC,2024-09-08,1125.01
4-Star Hose & Supply,2025-07-29,9761.89
Zoetis Inc.,2024-08-31,6060.19
Winston Water Cooler Ltd.,2024-01-23,578.47
Winston Water Cooler Ltd.,2025-05-15,9863.88
Winston Water Cooler Ltd.,2024-03-27,6445.99
Aecom Technical Services Inc.,2024-07-04,7890.47
Zoetis Inc.,2025-09-07,6178.55
WRG LLC,2024-07-21,4289.37
Zoetis Inc.,2025-01-06,9496.82
Winston Water Cooler Ltd.,2025-05-18,2686.49
4-Star Hose & Supply,2025-10-24,4958.19
Zoetis Inc.,2025-01-17,5565.82
4-Star Hose & Supply,2025-09-11,7116.34
WRG LLC,2025-10-25,2581.25
4-Star Hose & Supply,2025-01-19,2448.36
Zoetis Inc.,2025-12-07,6174.55
Aecom Technical Services Inc.,2024-09-22,7127.54
Zoetis Inc.,2025-03-06,1126.77
Zoetis Inc.,2024-10-15,9184.84
Aecom Technical Services Inc.,2025-06-20,7515.32
4-Star Hose & Supply,2025-12-17,3446.47
4-Star Hose & Supply,2024-05-01,7508.13
Aecom Technical Services Inc.,2025-03-01,9900.2
Winston Water Cooler Ltd.,2024-09-13,6199.2
Winston Water Cooler Ltd.,2025-05-20,9887.61
Zoetis Inc.,2025-09-23,8627.89
Zoetis Inc.,2024-01-26,2125.86
Winston Water Cooler Ltd.,2024-09-01,6972.47
Aecom Technical Services Inc.,2025-06-03,6819.59
WRG LLC,2024-08-26,655.51
Winston Water Cooler Ltd.,2024-06-27,1425.37
WRG LLC,2025-05-02,1391.68
WRG LLC,2025-07-19,3509.11
WRG LLC,2024-12-14,9289.49
WRG LLC,2025-03-11,765.62
WRG LLC,2024-12-10,2257.51
WRG LLC,2024-12-17,2139.45
Winston Water Cooler Ltd.,2025-07-18,1676.98
4-Star Hose & Supply,2024-01-02,9258.28
4-Star Hose & Supply,2024-11-01,5000.51
Winston Water Cooler Ltd.,2025-01-25,7566.22
WRG LLC,2025-02-04,518.97
WRG LLC,2025-05-06,964.6
Aecom Technical Services Inc.,2025-02-03,7168.4
Zoetis Inc.,2024-03-20,2992.22
Aecom Technical Services Inc.,2025-12-17,9791.61
Aecom Technical Services Inc.,2025-07-04,8671.39
Aecom Technical Services Inc.,2025-01-14,4558.14
4-Star Hose & Supply,2024-10-29,741.93
Zoetis Inc.,2024-08-27,4666.83
Winston Water Cooler Ltd.,2025-01-06,6584.25
Winston Water Cooler Ltd.,2025-09-07,4609.68
4-Star Hose & Supply,2024-04-27,2622.56
Winston Water Cooler Ltd.,2025-06-29,596.57
Aecom Technical Services Inc.,2024-07-29,9226.04
Winston Water Cooler Ltd.,2025-05-04,1717.49
Aecom Technical Services Inc.,2025-01-02,8820.19
WRG LLC,2024-01-13,5098.62
4-Star Hose & Supply,2024-10-23,8783.51
WRG LLC,2025-01-12,5441.77
Aecom Technical Services Inc.,2024-12-10,2364.77
4-Star Hose & Supply,2025-11-14,6564.83
Aecom Technical Services Inc.,2025-06-16,8773.72
4-Star Hose & Supply,2025-04-01,3173.9
Aecom Technical Services Inc.,2024-10-09,4319.29
