InvoiceNO,InvoiceAmt,ShipDate,InvoiceDate,VendorID,VendorName,ProductID,UnitCost,ShipCost,FlatDuty,TariffAmt,ShipLocation,QualityRate,PaymentTerms,ShipTerms,PayAddress,PONumber,PODate,ReceivingNumber,ReceivingDate,QtyReceived,QtyPurchased,QtyInvoice,Approved
INV00046,180826.53,2025-05-29,2025-05-29,V101,Global Tech Parts,PROD285,408.21,397.71,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0046,2025-05-14,REC00046,2025-06-02,442,442,442,No
INV00047,72663.1,2025-08-26,2025-08-26,V102,Asia Motors,PROD764,206.06,372.86,25.0,3441.2,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0047,2025-08-13,REC00047,2025-09-01,334,334,334,Yes
INV00048,23143.25,2025-05-21,2025-05-21,V104,China Auto,PROD375,127.04,441.61,25.0,1079.84,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0048,2025-05-10,REC00048,2025-05-23,170,170,170,Yes
INV00049,13264.79,2025-02-03,2025-02-03,V101,Global Tech Parts,PROD252,62.83,133.32,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0049,2025-01-22,REC00049,2025-02-07,209,209,209,Yes
INV00050,12330.56,2025-06-23,2025-06-23,V102,Asia Motors,PROD885,478.84,238.79,25.0,574.61,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0050,2025-06-17,REC00050,2025-06-29,24,24,24,No
INV00051,12835.92,2025-10-16,2025-10-16,V101,Global Tech Parts,PROD466,67.35,376.17,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0051,2025-10-02,REC00051,2025-10-23,185,185,185,Yes
INV00052,7513.54,2025-07-14,2025-07-14,V102,Asia Motors,PROD246,117.36,464.54,25.0,334.48,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0052,2025-07-07,REC00052,2025-07-20,57,57,57,Yes
INV00053,7928.61,2025-05-14,2025-05-14,V103,Euro Wheels,PROD713,352.52,130.54,25.0,370.15,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0053,2025-04-30,REC00053,2025-05-20,21,21,21,Yes
INV00054,77205.45,2025-02-13,2025-02-13,V103,Euro Wheels,PROD445,207.58,458.88,25.0,3653.41,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0054,2025-02-07,REC00054,2025-02-19,352,352,352,Yes
INV00055,39737.73,2025-05-22,2025-05-22,V102,Asia Motors,PROD826,398.24,406.44,25.0,1871.73,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0055,2025-05-14,REC00055,2025-05-28,94,94,94,No
INV00056,51806.21,2025-12-05,2025-12-05,V103,Euro Wheels,PROD191,243.21,451.74,25.0,2444.26,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0056,2025-11-27,REC00056,2025-12-08,201,201,201,Yes
INV00057,162657.94,2025-03-08,2025-03-08,V103,Euro Wheels,PROD976,392.34,321.88,25.0,7729.1,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0057,2025-02-21,REC00057,2025-03-10,394,394,394,No
INV00058,228868.62,2025-09-15,2025-09-15,V102,Asia Motors,PROD177,452.72,197.38,25.0,10887.92,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0058,2025-09-07,REC00058,2025-09-22,481,481,481,No
INV00059,151557.98,2025-06-03,2025-06-03,V102,Asia Motors,PROD537,456.44,86.19,25.0,7211.75,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0059,2025-05-29,REC00059,2025-06-07,316,316,316,Yes
INV00060,125713.66,2025-07-25,2025-07-25,V102,Asia Motors,PROD649,367.63,234.92,25.0,5973.99,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0060,2025-07-19,REC00060,2025-07-27,325,325,325,Yes
INV00061,74004.84,2026-01-05,2026-01-05,V103,Euro Wheels,PROD984,371.21,313.22,25.0,3507.93,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0061,2025-12-22,REC00061,2026-01-09,189,189,189,No
INV00062,35595.04,2025-12-03,2025-12-03,V101,Global Tech Parts,PROD187,206.36,101.12,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0062,2025-11-26,REC00062,2025-12-06,172,172,172,No
INV00063,49746.05,2025-10-30,2025-10-30,V102,Asia Motors,PROD207,128.02,388.54,25.0,2349.17,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0063,2025-10-25,REC00063,2025-11-06,367,367,367,Yes
INV00064,24311.52,2025-11-01,2025-11-01,V102,Asia Motors,PROD919,90.51,52.47,25.0,1154.0,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0064,2025-10-17,REC00064,2025-11-04,255,255,255,Yes
INV00065,3635.57,2025-05-04,2025-05-04,V103,Euro Wheels,PROD658,19.22,361.43,25.0,154.72,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0065,2025-04-25,REC00065,2025-05-07,161,161,161,Yes
INV00066,120426.64,2025-01-20,2025-01-20,V101,Global Tech Parts,PROD878,253.3,109.14,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0066,2025-01-15,REC00066,2025-01-22,475,475,475,Yes
INV00067,23858.56,2025-11-22,2025-11-22,V101,Global Tech Parts,PROD631,63.89,219.26,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0067,2025-11-08,REC00067,2025-11-25,370,370,370,No
INV00068,186671.73,2025-09-04,2025-09-04,V104,China Auto,PROD706,439.68,134.47,25.0,8881.54,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0068,2025-08-23,REC00068,2025-09-06,404,404,404,Yes
INV00069,122646.03,2025-09-10,2025-09-10,V104,China Auto,PROD621,237.45,203.68,25.0,5829.4,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0069,2025-08-28,REC00069,2025-09-15,491,491,491,Yes
INV00070,106366.08,2025-07-28,2025-07-28,V101,Global Tech Parts,PROD650,494.93,451.06,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0070,2025-07-21,REC00070,2025-07-31,214,214,214,Yes
INV00071,49503.28,2025-12-07,2025-12-07,V103,Euro Wheels,PROD848,178.43,204.84,25.0,2346.35,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0071,2025-11-24,REC00071,2025-12-09,263,263,263,Yes
INV00072,76020.9,2025-10-31,2025-10-31,V101,Global Tech Parts,PROD388,176.58,444.66,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0072,2025-10-25,REC00072,2025-11-07,428,428,428,No
INV00073,150302.78,2025-05-04,2025-05-04,V103,Euro Wheels,PROD735,407.64,470.08,25.0,7133.7,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0073,2025-04-22,REC00073,2025-05-10,350,350,350,No
INV00074,17423.39,2025-01-19,2025-01-19,V101,Global Tech Parts,PROD629,37.04,125.71,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0074,2025-01-13,REC00074,2025-01-26,467,467,467,Yes
INV00075,10140.47,2025-09-13,2025-09-13,V104,China Auto,PROD235,168.02,235.89,25.0,470.46,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0075,2025-08-30,REC00075,2025-09-19,56,56,56,No
INV00076,153901.93,2025-11-01,2025-11-01,V103,Euro Wheels,PROD712,438.05,252.79,25.0,7315.44,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0076,2025-10-21,REC00076,2025-11-06,334,334,334,Yes
INV00077,75670.96,2025-11-24,2025-11-24,V103,Euro Wheels,PROD152,171.7,467.12,25.0,3579.94,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0077,2025-11-13,REC00077,2025-11-28,417,417,417,No
INV00078,107241.15,2025-09-04,2025-09-04,V101,Global Tech Parts,PROD221,246.88,95.23,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0078,2025-08-28,REC00078,2025-09-09,434,434,434,Yes
INV00079,39131.84,2025-05-30,2025-05-30,V104,China Auto,PROD463,360.41,128.5,25.0,1856.11,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0079,2025-05-24,REC00079,2025-06-06,103,103,103,Yes
INV00080,224143.37,2025-02-04,2025-02-04,V101,Global Tech Parts,PROD417,494.67,57.86,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0080,2025-01-22,REC00080,2025-02-11,453,453,453,Yes
INV00081,197677.82,2025-03-27,2025-03-27,V102,Asia Motors,PROD285,386.79,273.88,25.0,9399.0,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0081,2025-03-14,REC00081,2025-04-01,486,486,486,No
INV00082,25204.83,2026-01-04,2026-01-04,V101,Global Tech Parts,PROD762,216.15,347.58,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0082,2025-12-20,REC00082,2026-01-06,115,115,115,No
INV00083,30562.5,2025-01-18,2025-01-18,V103,Euro Wheels,PROD107,301.4,156.38,25.0,1446.72,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0083,2025-01-06,REC00083,2025-01-25,96,96,96,No
INV00084,19716.38,2025-07-31,2025-07-31,V104,China Auto,PROD862,86.99,418.75,25.0,917.74,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0084,2025-07-17,REC00084,2025-08-04,211,211,211,Yes
INV00085,404.58,2025-05-21,2025-05-21,V101,Global Tech Parts,PROD274,10.21,292.27,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0085,2025-05-09,REC00085,2025-05-26,11,11,11,No
INV00086,35230.7,2025-10-17,2025-10-17,V104,China Auto,PROD600,82.0,249.1,25.0,1664.6,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0086,2025-10-05,REC00086,2025-10-23,406,406,406,No
INV00087,223381.32,2025-05-26,2025-05-26,V104,China Auto,PROD913,478.3,372.86,25.0,10618.26,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0087,2025-05-19,REC00087,2025-06-01,444,444,444,Yes
INV00088,52823.91,2025-05-13,2025-05-13,V101,Global Tech Parts,PROD557,485.78,359.67,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0088,2025-05-08,REC00088,2025-05-19,108,108,108,No
INV00089,36374.02,2025-08-07,2025-08-07,V102,Asia Motors,PROD643,82.51,395.29,25.0,1712.08,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0089,2025-07-25,REC00089,2025-08-11,415,415,415,Yes
INV00090,194398.91,2025-08-09,2025-08-09,V103,Euro Wheels,PROD707,478.0,138.61,25.0,9249.3,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0090,2025-08-01,REC00090,2025-08-15,387,387,387,Yes
INV00091,1511.78,2025-06-25,2025-06-25,V101,Global Tech Parts,PROD738,16.77,52.79,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0091,2025-06-18,REC00091,2025-06-29,87,87,87,Yes
INV00092,15982.05,2025-12-20,2025-12-20,V102,Asia Motors,PROD603,100.83,182.2,25.0,751.18,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0092,2025-12-06,REC00092,2025-12-24,149,149,149,No
INV00093,108198.84,2025-08-11,2025-08-11,V103,Euro Wheels,PROD824,357.84,338.76,25.0,5135.0,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0093,2025-08-03,REC00093,2025-08-14,287,287,287,Yes
INV00094,79255.08,2025-10-10,2025-10-10,V103,Euro Wheels,PROD591,354.48,322.83,25.0,3757.49,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0094,2025-09-28,REC00094,2025-10-14,212,212,212,No
INV00095,28420.38,2025-09-11,2025-09-11,V104,China Auto,PROD852,303.11,69.75,25.0,1348.84,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0095,2025-09-04,REC00095,2025-09-18,89,89,89,No
INV00096,5999.5,2025-08-07,2025-08-07,V104,China Auto,PROD299,171.42,394.78,25.0,265.7,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0096,2025-07-27,REC00096,2025-08-10,31,31,31,Yes
INV00097,37190.89,2025-07-03,2025-07-03,V104,China Auto,PROD792,455.59,331.44,25.0,1754.02,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0097,2025-06-25,REC00097,2025-07-06,77,77,77,Yes
INV00098,20820.75,2025-04-27,2025-04-27,V103,Euro Wheels,PROD625,100.37,139.6,25.0,983.63,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0098,2025-04-18,REC00098,2025-05-03,196,196,196,No
INV00099,46926.66,2025-02-10,2025-02-10,V101,Global Tech Parts,PROD116,257.42,76.22,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0099,2025-02-02,REC00099,2025-02-16,182,182,182,Yes
INV00100,35246.58,2026-01-03,2026-01-03,V103,Euro Wheels,PROD720,248.04,61.91,25.0,1674.27,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0100,2025-12-28,REC00100,2026-01-08,135,135,135,Yes
INV00101,154036.74,2025-10-03,2025-10-03,V102,Asia Motors,PROD590,352.42,444.72,25.0,7312.72,Japan,3,Net 45,FOB Shipping Point,123 Japan Blvd,PO0101,2025-09-20,REC00101,2025-10-06,415,415,415,Yes
INV00102,36561.34,2025-12-16,2025-12-16,V101,Global Tech Parts,PROD722,159.94,254.96,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0102,2025-12-05,REC00102,2025-12-21,227,227,227,No
INV00103,195125.58,2025-03-17,2025-03-17,V104,China Auto,PROD868,472.56,98.7,25.0,9285.8,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0103,2025-03-02,REC00103,2025-03-19,393,393,393,Yes
INV00104,56149.29,2025-04-07,2025-04-07,V101,Global Tech Parts,PROD547,423.53,243.33,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0104,2025-04-02,REC00104,2025-04-09,132,132,132,Yes
INV00105,119241.08,2025-12-25,2025-12-25,V101,Global Tech Parts,PROD217,387.03,422.87,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0105,2025-12-17,REC00105,2026-01-01,307,307,307,Yes
INV00106,27348.05,2025-08-21,2025-08-21,V102,Asia Motors,PROD658,53.37,256.45,25.0,1288.89,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0106,2025-08-12,REC00106,2025-08-26,483,483,483,Yes
INV00107,142532.56,2025-12-05,2025-12-05,V101,Global Tech Parts,PROD270,288.74,472.48,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0107,2025-11-23,REC00107,2025-12-07,492,492,492,No
INV00108,61653.65,2025-12-25,2025-12-25,V104,China Auto,PROD249,314.75,157.97,25.0,2927.18,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0108,2025-12-14,REC00108,2025-12-30,186,186,186,Yes
INV00109,21740.96,2025-07-18,2025-07-18,V102,Asia Motors,PROD970,142.46,325.59,25.0,1018.59,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0109,2025-07-13,REC00109,2025-07-23,143,143,143,Yes
INV00110,167029.54,2025-08-31,2025-08-31,V102,Asia Motors,PROD276,334.4,222.54,25.0,7942.0,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0110,2025-08-22,REC00110,2025-09-03,475,475,475,No
INV00111,56336.0,2025-09-22,2025-09-22,V103,Euro Wheels,PROD192,310.31,269.01,25.0,2668.67,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0111,2025-09-12,REC00111,2025-09-26,172,172,172,No
INV00112,72558.36,2025-12-19,2025-12-19,V102,Asia Motors,PROD428,322.43,421.89,25.0,3433.88,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0112,2025-12-08,REC00112,2025-12-21,213,213,213,No
INV00113,100927.6,2025-04-12,2025-04-12,V104,China Auto,PROD396,358.15,119.19,25.0,4799.21,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0113,2025-03-30,REC00113,2025-04-19,268,268,268,No
INV00114,79767.61,2025-12-24,2025-12-24,V101,Global Tech Parts,PROD994,347.91,444.13,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0114,2025-12-11,REC00114,2025-12-30,228,228,228,No
INV00115,714.46,2025-04-03,2025-04-03,V101,Global Tech Parts,PROD216,35.41,112.49,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0115,2025-03-23,REC00115,2025-04-10,17,17,17,No
INV00116,157557.67,2025-06-10,2025-06-10,V102,Asia Motors,PROD732,404.2,76.56,25.0,7497.91,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0116,2025-06-03,REC00116,2025-06-14,371,371,371,No
