Ngày CT,Số CT,TK Nợ,TK Có,Số tiền,Nội dung,Bộ phận,Mã KH,Mã NCC,IFRS_Category,IFRS_Standard,IFRS_Category,IFRS_Standard
30/12/2024,CT751057,632,632,41450414.42đ,Giao dịch mua bán,IT,CUST0037,VEND0128,Expense,IAS 1,Expense,IAS 1
18/04/2024,CT153930,131,331,13078368.23đ,Giao dịch mua bán,HR,CUST0120,VEND0097,Asset,IAS 16,Asset,IAS 16
11/08/2024,CT502063,214,511,24913153.66đ,Giao dịch mua bán,Finance,CUST0170,VEND0148,Asset,IAS 16,Asset,IAS 16
16/05/2024,CT713578,211,156,45819425.48đ,Giao dịch mua bán,Production,CUST0016,VEND0102,Asset,IAS 16,Asset,IAS 16
16/11/2024,CT944391,211,211,25176220.49đ,Giao dịch mua bán,Finance,CUST0126,VEND0178,Asset,IAS 16,Asset,IAS 16
18/05/2024,CT563801,214,131,38186276.37đ,Giao dịch mua bán,Sales,CUST0154,VEND0122,Asset,IAS 16,Asset,IAS 16
10/01/2024,CT710203,112,632,27761124.34đ,Giao dịch mua bán,Finance,CUST0011,VEND0050,Asset,IAS 16,Asset,IAS 16
02/07/2024,CT908379,214,111,31882465.7đ,Giao dịch mua bán,Production,CUST0046,VEND0097,Asset,IAS 16,Asset,IAS 16
26/07/2024,CT818485,331,111,11711871.33đ,Giao dịch mua bán,Production,CUST0074,VEND0130,Liability,IAS 37,Liability,IAS 37
01/01/2024,CT371139,111,214,8346757.16đ,Giao dịch mua bán,Sales,CUST0069,VEND0097,Asset,IAS 16,Asset,IAS 16
26/01/2024,CT090499,331,214,28480344.59đ,Giao dịch mua bán,HR,CUST0104,VEND0052,Liability,IAS 37,Liability,IAS 37
09/09/2024,CT620433,152,111,557957.23đ,Giao dịch mua bán,Sales,CUST0123,VEND0038,Asset,IAS 16,Asset,IAS 16
17/02/2024,CT884403,511,642,14375623.19đ,Giao dịch mua bán,IT,CUST0074,VEND0081,Revenue,IFRS 15,Revenue,IFRS 15
10/02/2024,CT011770,111,211,9165931.93đ,Giao dịch mua bán,HR,CUST0160,VEND0029,Asset,IAS 16,Asset,IAS 16
14/09/2024,CT862510,211,642,23717212.06đ,Giao dịch mua bán,HR,CUST0009,VEND0151,Asset,IAS 16,Asset,IAS 16
27/03/2024,CT325122,331,632,4031042.55đ,Giao dịch mua bán,IT,CUST0156,VEND0122,Liability,IAS 37,Liability,IAS 37
22/02/2024,CT526071,211,112,5932647.88đ,Giao dịch mua bán,Sales,CUST0100,VEND0198,Asset,IAS 16,Asset,IAS 16
30/03/2024,CT836383,331,642,33511400.27đ,Giao dịch mua bán,HR,CUST0066,VEND0029,Liability,IAS 37,Liability,IAS 37
27/08/2024,CT428557,112,211,44172761.99đ,Giao dịch mua bán,Finance,CUST0055,VEND0189,Asset,IAS 16,Asset,IAS 16
26/03/2024,CT094979,214,511,36030036.82đ,Giao dịch mua bán,Production,CUST0031,VEND0195,Asset,IAS 16,Asset,IAS 16
26/01/2024,CT618508,642,131,15333346.85đ,Giao dịch mua bán,Sales,CUST0026,VEND0080,Expense,IAS 1,Expense,IAS 1
06/01/2024,CT570924,152,214,5680897.2đ,Giao dịch mua bán,HR,CUST0140,VEND0049,Asset,IAS 16,Asset,IAS 16
09/07/2024,CT182115,214,131,37792349.8đ,Giao dịch mua bán,HR,CUST0119,VEND0089,Asset,IAS 16,Asset,IAS 16
13/07/2024,CT108355,112,211,42278079.61đ,Giao dịch mua bán,Sales,CUST0039,VEND0034,Asset,IAS 16,Asset,IAS 16
18/03/2024,CT016340,511,152,9874689.97đ,Giao dịch mua bán,Finance,CUST0066,VEND0139,Revenue,IFRS 15,Revenue,IFRS 15
25/06/2024,CT751897,112,156,42657895.68đ,Giao dịch mua bán,HR,CUST0113,VEND0166,Asset,IAS 16,Asset,IAS 16
22/03/2024,CT955046,211,152,32172531.98đ,Giao dịch mua bán,Finance,CUST0120,VEND0030,Asset,IAS 16,Asset,IAS 16
12/07/2024,CT920753,211,632,37089619.68đ,Giao dịch mua bán,Sales,CUST0179,VEND0153,Asset,IAS 16,Asset,IAS 16
20/01/2024,CT913621,642,511,13746371.7đđ,Giao dịch mua bán,HR,CUST0031,VEND0136,Expense,IAS 1,Expense,IAS 1
29/01/2024,CT512948,112,152,45679571.22đ,Giao dịch mua bán,IT,CUST0080,VEND0055,Asset,IAS 16,Asset,IAS 16
13/06/2024,CT843472,511,111,5353139.75đ,Giao dịch mua bán,Production,CUST0180,VEND0089,Revenue,IFRS 15,Revenue,IFRS 15
15/08/2024,CT203725,156,331,14469828.72đ,Giao dịch mua bán,IT,CUST0027,VEND0138,Asset,IAS 16,Asset,IAS 16
17/03/2024,CT274727,214,632,1979761.44đ,Giao dịch mua bán,HR,CUST0015,VEND0133,Asset,IAS 16,Asset,IAS 16
19/04/2024,CT201514,632,511,32156343.38đ,Giao dịch mua bán,Finance,CUST0009,VEND0179,Expense,IAS 1,Expense,IAS 1
20/10/2024,CT461670,156,211,25469731.23đ,Giao dịch mua bán,HR,CUST0011,VEND0176,Asset,IAS 16,Asset,IAS 16
18/11/2024,CT686032,112,111,44237514.45đ,Giao dịch mua bán,Sales,CUST0096,VEND0104,Asset,IAS 16,Asset,IAS 16
19/11/2024,CT396008,112,511,23191020.09đ,Giao dịch mua bán,Sales,CUST0190,VEND0184,Asset,IAS 16,Asset,IAS 16
14/08/2024,CT416986,511,511,6926107.05đ,Giao dịch mua bán,Finance,CUST0191,VEND0134,Revenue,IFRS 15,Revenue,IFRS 15
30/04/2024,CT483966,211,131,5349503.89đ,Giao dịch mua bán,IT,CUST0084,VEND0169,Asset,IAS 16,Asset,IAS 16
14/10/2024,CT275017,511,131,23937190.64đ,Giao dịch mua bán,IT,CUST0112,VEND0050,Revenue,IFRS 15,Revenue,IFRS 15
21/09/2024,CT806513,331,331,5188136.82đ,Giao dịch mua bán,Sales,CUST0021,VEND0161,Liability,IAS 37,Liability,IAS 37
11/05/2024,CT804978,511,211,37392497.79đ,Giao dịch mua bán,HR,CUST0118,VEND0093,Revenue,IFRS 15,Revenue,IFRS 15
23/04/2024,CT120449,131,632,3425881.26đ,Giao dịch mua bán,HR,CUST0052,VEND0067,Asset,IAS 16,Asset,IAS 16
10/10/2024,CT277034,511,112,16648792.87đ,Giao dịch mua bán,HR,CUST0119,VEND0129,Revenue,IFRS 15,Revenue,IFRS 15
30/06/2024,CT419898,112,214,6495774.14đ,Giao dịch mua bán,HR,CUST0198,VEND0036,Asset,IAS 16,Asset,IAS 16
05/07/2024,CT216483,331,131,28332210.8đ,Giao dịch mua bán,Finance,CUST0023,VEND0094,Liability,IAS 37,Liability,IAS 37
19/08/2024,CT096493,642,211,33620070.57đ,Giao dịch mua bán,Finance,CUST0016,VEND0106,Expense,IAS 1,Expense,IAS 1
14/03/2024,CT507772,156,511,11811513.61đ,Giao dịch mua bán,Sales,CUST0080,VEND0172,Asset,IAS 16,Asset,IAS 16
20/10/2024,CT672697,131,511,17410778.26đ,Giao dịch mua bán,HR,CUST0148,VEND0108,Asset,IAS 16,Asset,IAS 16
14/03/2024,CT522649,156,642,4592274.02đ,Giao dịch mua bán,IT,CUST0055,VEND0147,Asset,IAS 16,Asset,IAS 16
23/10/2024,CT716141,131,211,9243711.13đ,Giao dịch mua bán,IT,CUST0105,VEND0028,Asset,IAS 16,Asset,IAS 16
20/07/2024,CT026572,152,152,40862995.82đ,Giao dịch mua bán,HR,CUST0102,VEND0118,Asset,IAS 16,Asset,IAS 16
21/04/2024,CT214832,152,211,5395302.16đ,Giao dịch mua bán,Sales,CUST0028,VEND0083,Asset,IAS 16,Asset,IAS 16
21/04/2024,CT419291,156,111,6540173.74đ,Giao dịch mua bán,Sales,CUST0084,VEND0180,Asset,IAS 16,Asset,IAS 16
23/05/2024,CT219941,112,152,34553725.71đ,Giao dịch mua bán,HR,CUST0046,VEND0015,Asset,IAS 16,Asset,IAS 16
17/05/2024,CT463059,111,632,11361494.93đ,Giao dịch mua bán,Production,CUST0159,VEND0078,Asset,IAS 16,Asset,IAS 16
05/03/2024,CT847222,112,131,35376046.42đđ,Giao dịch mua bán,HR,CUST0146,VEND0032,Asset,IAS 16,Asset,IAS 16
02/03/2024,CT187819,632,214,39479120.32đ,Giao dịch mua bán,Finance,CUST0188,VEND0034,Expense,IAS 1,Expense,IAS 1
23/11/2024,CT519420,331,211,9820396.05đ,Giao dịch mua bán,Sales,CUST0148,VEND0102,Liability,IAS 37,Liability,IAS 37
06/09/2024,CT327211,214,111,39737494.26đ,Giao dịch mua bán,Finance,CUST0017,VEND0042,Asset,IAS 16,Asset,IAS 16
24/06/2024,CT914318,112,112,2365888.12đ,Giao dịch mua bán,Production,CUST0064,VEND0049,Asset,IAS 16,Asset,IAS 16
18/01/2024,CT498969,152,111,34291114.28đ,Giao dịch mua bán,Finance,CUST0054,VEND0114,Asset,IAS 16,Asset,IAS 16
18/04/2024,CT336962,214,331,40177108.91đ,Giao dịch mua bán,Finance,CUST0173,VEND0061,Asset,IAS 16,Asset,IAS 16
06/03/2024,CT950214,156,131,24204788.04đ,Giao dịch mua bán,Production,CUST0183,VEND0111,Asset,IAS 16,Asset,IAS 16
26/12/2024,CT411289,131,511,16083039.51đ,Giao dịch mua bán,Sales,CUST0122,VEND0024,Asset,IAS 16,Asset,IAS 16
29/07/2024,CT362188,152,211,13835210.93đ,Giao dịch mua bán,IT,CUST0094,VEND0167,Asset,IAS 16,Asset,IAS 16
08/02/2024,CT023509,214,111,12184800.78đ,Giao dịch mua bán,Production,CUST0090,VEND0032,Asset,IAS 16,Asset,IAS 16
21/06/2024,CT503150,112,111,12386478.13đ,Giao dịch mua bán,Production,CUST0067,VEND0107,Asset,IAS 16,Asset,IAS 16
02/06/2024,CT765933,111,632,42729932.61đ,Giao dịch mua bán,HR,CUST0077,VEND0045,Asset,IAS 16,Asset,IAS 16
29/08/2024,CT736775,642,642,34693529.98đ,Giao dịch mua bán,HR,CUST0145,VEND0169,Expense,IAS 1,Expense,IAS 1
24/01/2024,CT757462,642,152,31291432.42đ,Giao dịch mua bán,HR,CUST0151,VEND0104,Expense,IAS 1,Expense,IAS 1
15/12/2024,CT088109,511,156,28337770.01đ,Giao dịch mua bán,Production,CUST0112,VEND0079,Revenue,IFRS 15,Revenue,IFRS 15
13/10/2024,CT431233,632,156,1146049.22đ,Giao dịch mua bán,Finance,CUST0178,VEND0099,Expense,IAS 1,Expense,IAS 1
14/12/2024,CT300498,131,211,7025423.94đ,Giao dịch mua bán,Sales,CUST0192,VEND0043,Asset,IAS 16,Asset,IAS 16
20/12/2024,CT828834,214,111,33989689.8đ,Giao dịch mua bán,Production,CUST0043,VEND0022,Asset,IAS 16,Asset,IAS 16
27/07/2024,CT448413,642,331,4928214.75đ,Giao dịch mua bán,HR,CUST0174,VEND0139,Expense,IAS 1,Expense,IAS 1
04/03/2024,CT764840,131,331,26797309.49đ,Giao dịch mua bán,Finance,CUST0172,VEND0046,Asset,IAS 16,Asset,IAS 16
06/02/2024,CT722900,642,156,15367561.19đ,Giao dịch mua bán,Finance,CUST0130,VEND0189,Expense,IAS 1,Expense,IAS 1
02/11/2024,CT623422,131,112,19174096.54đ,Giao dịch mua bán,HR,CUST0172,VEND0077,Asset,IAS 16,Asset,IAS 16
15/10/2024,CT978478,112,111,41333702.76đ,Giao dịch mua bán,Production,CUST0111,VEND0041,Asset,IAS 16,Asset,IAS 16
14/02/2024,CT181270,214,152,15721959.67đ,Giao dịch mua bán,Sales,CUST0064,VEND0022,Asset,IAS 16,Asset,IAS 16
23/03/2024,CT442523,112,511,6755819.32đ,Giao dịch mua bán,IT,CUST0185,VEND0049,Asset,IAS 16,Asset,IAS 16
11/11/2024,CT968903,156,112,15421422.81đ,Giao dịch mua bán,Production,CUST0065,VEND0124,Asset,IAS 16,Asset,IAS 16
05/03/2024,CT995221,632,642,30963569.33đ,Giao dịch mua bán,Finance,CUST0073,VEND0198,Expense,IAS 1,Expense,IAS 1
17/01/2024,CT886801,211,211,6876722.96đ,Giao dịch mua bán,Finance,CUST0012,VEND0001,Asset,IAS 16,Asset,IAS 16
08/05/2024,CT265118,511,156,34405570.66đ,Giao dịch mua bán,HR,CUST0179,VEND0051,Revenue,IFRS 15,Revenue,IFRS 15
08/08/2024,CT905107,156,112,35454517.25đ,Giao dịch mua bán,Sales,CUST0193,VEND0018,Asset,IAS 16,Asset,IAS 16
27/09/2024,CT839853,214,331,12118706.33đđ,Giao dịch mua bán,Production,CUST0103,VEND0126,Asset,IAS 16,Asset,IAS 16
04/01/2024,CT474173,331,211,21293006.84đ,Giao dịch mua bán,Production,CUST0195,VEND0088,Liability,IAS 37,Liability,IAS 37
20/06/2024,CT192262,632,152,39891480.22đ,Giao dịch mua bán,Sales,CUST0039,VEND0111,Expense,IAS 1,Expense,IAS 1
17/06/2024,CT895403,211,331,7503903.35đ,Giao dịch mua bán,IT,CUST0122,VEND0085,Asset,IAS 16,Asset,IAS 16
07/11/2024,CT851660,111,152,43949472.66đ,Giao dịch mua bán,Finance,CUST0045,VEND0025,Asset,IAS 16,Asset,IAS 16
19/12/2024,CT484988,632,642,8006195.99đ,Giao dịch mua bán,Production,CUST0198,VEND0133,Expense,IAS 1,Expense,IAS 1
14/06/2024,CT665606,632,214,24269820.35đ,Giao dịch mua bán,Sales,CUST0120,VEND0154,Expense,IAS 1,Expense,IAS 1
16/04/2024,CT844818,152,112,14808242.53đ,Giao dịch mua bán,IT,CUST0101,VEND0062,Asset,IAS 16,Asset,IAS 16
19/08/2024,CT748199,156,211,35439264.13đ,Giao dịch mua bán,HR,CUST0122,VEND0047,Asset,IAS 16,Asset,IAS 16
23/01/2024,CT498077,112,156,15533007.42đđ,Giao dịch mua bán,IT,CUST0125,VEND0093,Asset,IAS 16,Asset,IAS 16
14/03/2024,CT772733,642,211,28946924.49đ,Giao dịch mua bán,IT,CUST0090,VEND0171,Expense,IAS 1,Expense,IAS 1
06/12/2024,CT255289,331,156,558789.33đ,Giao dịch mua bán,Production,CUST0138,VEND0087,Liability,IAS 37,Liability,IAS 37
25/09/2024,CT456124,152,632,34238611.43đ,Giao dịch mua bán,IT,CUST0058,VEND0189,Asset,IAS 16,Asset,IAS 16
29/02/2024,CT577215,511,156,24573848.76đ,Giao dịch mua bán,Sales,CUST0153,VEND0003,Revenue,IFRS 15,Revenue,IFRS 15
05/11/2024,CT742083,211,642,30680086.61,Giao dịch mua bán,Sales,CUST0002,VEND0157,Asset,IAS 16,Asset,IAS 16
26/08/2024,CT242698,111,511,34191978.94,Giao dịch mua bán,Sales,CUST0063,VEND0183,Asset,IAS 16,Asset,IAS 16
21/06/2024,CT870938,111,111,16332216.28,Giao dịch mua bán,Sales,CUST0186,VEND0200,Asset,IAS 16,Asset,IAS 16
13/12/2024,CT924279,331,152,26807334.88,Giao dịch mua bán,HR,CUST0023,VEND0141,Liability,IAS 37,Liability,IAS 37
23/05/2024,CT266892,131,632,46331744.74,Giao dịch mua bán,HR,CUST0198,VEND0098,Asset,IAS 16,Asset,IAS 16
15/06/2024,CT267769,214,112,19240191.3,Giao dịch mua bán,IT,CUST0182,VEND0088,Asset,IAS 16,Asset,IAS 16
04/02/2024,CT714122,131,112,14175558.1,Giao dịch mua bán,Finance,CUST0033,VEND0053,Asset,IAS 16,Asset,IAS 16
19/03/2024,CT349016,642,131,9614066.55,Giao dịch mua bán,Production,CUST0148,VEND0179,Expense,IAS 1,Expense,IAS 1
03/04/2024,CT784498,156,131,23720108.26,Giao dịch mua bán,Sales,CUST0175,VEND0035,Asset,IAS 16,Asset,IAS 16
09/08/2024,CT749712,152,511,40759735.51,Giao dịch mua bán,Sales,CUST0148,VEND0059,Asset,IAS 16,Asset,IAS 16
09/12/2024,CT533313,511,112,20107360.67,Giao dịch mua bán,HR,CUST0092,VEND0038,Revenue,IFRS 15,Revenue,IFRS 15
11/08/2024,CT636908,331,331,31220486.19đ,Giao dịch mua bán,IT,CUST0046,VEND0117,Liability,IAS 37,Liability,IAS 37
22/05/2024,CT193584,511,156,20786639.26,Giao dịch mua bán,HR,CUST0118,VEND0105,Revenue,IFRS 15,Revenue,IFRS 15
27/04/2024,CT872926,642,642,28505224.51,Giao dịch mua bán,Sales,CUST0006,VEND0058,Expense,IAS 1,Expense,IAS 1
17/02/2024,CT254435,131,642,22666619.21,Giao dịch mua bán,Production,CUST0110,VEND0108,Asset,IAS 16,Asset,IAS 16
11/01/2024,CT418354,152,152,4936970.12,Giao dịch mua bán,Production,CUST0099,VEND0161,Asset,IAS 16,Asset,IAS 16
20/11/2024,CT868651,156,511,17520666.82,Giao dịch mua bán,IT,CUST0176,VEND0048,Asset,IAS 16,Asset,IAS 16
13/12/2024,CT712631,112,152,28241793.7,Giao dịch mua bán,Finance,CUST0006,VEND0104,Asset,IAS 16,Asset,IAS 16
26/10/2024,DUPLICATE,211,211,18324626.65,Giao dịch mua bán,Finance,CUST0146,VEND0043,Asset,IAS 16,Asset,IAS 16
06/02/2024,CT747212,214,211,44666273.25,Giao dịch mua bán,Finance,CUST0110,VEND0149,Asset,IAS 16,Asset,IAS 16
27/01/2024,CT719313,214,211,43436645.4,Giao dịch mua bán,Finance,CUST0044,VEND0008,Asset,IAS 16,Asset,IAS 16
21/10/2024,CT317927,632,331,40325190.95,Giao dịch mua bán,Sales,CUST0109,VEND0079,Expense,IAS 1,Expense,IAS 1
14/10/2024,CT214714,156,131,6716275.03,Giao dịch mua bán,Sales,CUST0015,VEND0017,Asset,IAS 16,Asset,IAS 16
08/06/2024,CT187185,152,214,49146201.1,Giao dịch mua bán,Sales,CUST0051,VEND0033,Asset,IAS 16,Asset,IAS 16
20/06/2024,CT108900,152,211,22082295.05,Giao dịch mua bán,Finance,CUST0129,VEND0059,Asset,IAS 16,Asset,IAS 16
07/08/2024,CT588625,214,112,45716643.18,Giao dịch mua bán,IT,CUST0077,VEND0169,Asset,IAS 16,Asset,IAS 16
15/03/2024,CT058080,131,152,19155157.6,Giao dịch mua bán,Sales,CUST0048,VEND0152,Asset,IAS 16,Asset,IAS 16
17/04/2024,CT943746,111,156,49721724.22,Giao dịch mua bán,Production,CUST0016,VEND0067,Asset,IAS 16,Asset,IAS 16
19/04/2024,CT339230,112,642,45132942.48,Giao dịch mua bán,IT,CUST0172,VEND0082,Asset,IAS 16,Asset,IAS 16
20/08/2024,CT721843,156,331,46581568.65,Giao dịch mua bán,Finance,CUST0166,VEND0061,Asset,IAS 16,Asset,IAS 16
14/02/2024,CT798335,112,511,13447764.14,Giao dịch mua bán,Sales,CUST0158,VEND0161,Asset,IAS 16,Asset,IAS 16
23/09/2024,CT396303,214,111,14353776.02,Giao dịch mua bán,HR,CUST0165,VEND0023,Asset,IAS 16,Asset,IAS 16
10/12/2024,CT627487,331,112,9921736.8,Giao dịch mua bán,IT,CUST0124,VEND0011,Liability,IAS 37,Liability,IAS 37
06/12/2024,DUPLICATE,214,511,15709977.78,Giao dịch mua bán,HR,CUST0118,VEND0105,Asset,IAS 16,Asset,IAS 16
07/06/2024,CT389188,214,111,35810261.41,Giao dịch mua bán,Production,CUST0078,VEND0151,Asset,IAS 16,Asset,IAS 16
17/12/2024,CT419188,632,642,34888866.16,Giao dịch mua bán,IT,CUST0105,VEND0116,Expense,IAS 1,Expense,IAS 1
12/05/2024,CT973223,152,152,8650828.66,Giao dịch mua bán,IT,CUST0012,VEND0152,Asset,IAS 16,Asset,IAS 16
13/06/2024,CT051262,152,331,32778337.13,Giao dịch mua bán,HR,CUST0068,VEND0184,Asset,IAS 16,Asset,IAS 16
30/09/2024,CT885262,131,211,29999053.86,Giao dịch mua bán,IT,CUST0007,VEND0166,Asset,IAS 16,Asset,IAS 16
09/03/2024,CT120244,111,331,8109434.19,Giao dịch mua bán,IT,CUST0008,VEND0185,Asset,IAS 16,Asset,IAS 16
30/05/2024,CT294667,156,112,17233039.6,Giao dịch mua bán,HR,CUST0174,VEND0108,Asset,IAS 16,Asset,IAS 16
03/11/2024,CT643658,152,156,3199363.93,Giao dịch mua bán,Sales,CUST0187,VEND0038,Asset,IAS 16,Asset,IAS 16
06/06/2024,CT420221,511,156,1513014.42,Giao dịch mua bán,Sales,CUST0174,VEND0053,Revenue,IFRS 15,Revenue,IFRS 15
29/04/2024,CT237068,214,152,9772239.08,Giao dịch mua bán,Production,CUST0011,VEND0200,Asset,IAS 16,Asset,IAS 16
29/07/2024,CT203746,331,156,36287848.74,Giao dịch mua bán,IT,CUST0038,VEND0172,Liability,IAS 37,Liability,IAS 37
13/11/2024,CT636808,331,642,20263102.4,Giao dịch mua bán,Production,CUST0112,VEND0026,Liability,IAS 37,Liability,IAS 37
