Ngày CT,Số CT,TK Nợ,TK Có,Số tiền,Nội dung,Bộ phận,Mã KH,Mã NCC,IFRS_Category,IFRS_Standard,IFRS_Category,IFRS_Standard
18/10/2024,CT951603,632,331,15009263.28đ,Giao dịch mua bán,Production,CUST0175,VEND0058,Expense,IAS 1,Expense,IAS 1
11/09/2024,CT804774,511,152,5505175đ,Giao dịch mua bán,IT,CUST0078,VEND0111,Revenue,IFRS 15,Revenue,IFRS 15
12/01/2024,CT153775,111,511,5756910.54đ,Giao dịch mua bán,Sales,CUST0056,VEND0094,Asset,IAS 16,Asset,IAS 16
04/07/2024,CT051397,111,511,34723224.36đ,Giao dịch mua bán,HR,CUST0175,VEND0007,Asset,IAS 16,Asset,IAS 16
30/05/2024,CT072398,214,156,37137516.71đ,Giao dịch mua bán,Finance,CUST0055,VEND0144,Asset,IAS 16,Asset,IAS 16
26/06/2024,CT951084,331,214,22476667.31đ,Giao dịch mua bán,IT,CUST0127,VEND0023,Liability,IAS 37,Liability,IAS 37
01/12/2024,CT963181,632,642,3941361.7đ,Giao dịch mua bán,Production,CUST0098,VEND0056,Expense,IAS 1,Expense,IAS 1
16/05/2024,CT759822,152,111,18149519.53đ,Giao dịch mua bán,Production,CUST0158,VEND0115,Asset,IAS 16,Asset,IAS 16
17/06/2024,CT687541,152,111,47278012.9đ,Giao dịch mua bán,Sales,CUST0026,VEND0030,Asset,IAS 16,Asset,IAS 16
02/11/2024,CT799278,632,152,17207177.02đ,Giao dịch mua bán,Finance,CUST0027,VEND0021,Expense,IAS 1,Expense,IAS 1
23/08/2024,CT888691,642,214,23726594.4đ,Giao dịch mua bán,HR,CUST0180,VEND0083,Expense,IAS 1,Expense,IAS 1
03/07/2024,CT682888,111,152,24627467.21đ,Giao dịch mua bán,Production,CUST0096,VEND0079,Asset,IAS 16,Asset,IAS 16
31/01/2024,CT833768,632,152,8399228.02đ,Giao dịch mua bán,Sales,CUST0071,VEND0179,Expense,IAS 1,Expense,IAS 1
09/01/2024,CT382630,642,214,41933699.38đ,Giao dịch mua bán,Finance,CUST0061,VEND0112,Expense,IAS 1,Expense,IAS 1
23/09/2024,CT601077,152,214,37053517.96đ,Giao dịch mua bán,IT,CUST0123,VEND0153,Asset,IAS 16,Asset,IAS 16
28/06/2024,CT395086,632,211,42657409.56đ,Giao dịch mua bán,HR,CUST0183,VEND0144,Expense,IAS 1,Expense,IAS 1
26/08/2024,CT767283,211,156,48641850.48đ,Giao dịch mua bán,Sales,CUST0046,VEND0018,Asset,IAS 16,Asset,IAS 16
13/05/2024,CT353728,331,111,31712643.18đ,Giao dịch mua bán,Sales,CUST0181,VEND0091,Liability,IAS 37,Liability,IAS 37
21/12/2024,CT786097,642,211,5523857.29đđ,Giao dịch mua bán,IT,CUST0065,VEND0145,Expense,IAS 1,Expense,IAS 1
22/08/2024,CT351677,511,112,49696878.82đ,Giao dịch mua bán,Sales,CUST0152,VEND0049,Revenue,IFRS 15,Revenue,IFRS 15
24/05/2024,CT556692,511,112,45713820.16đ,Giao dịch mua bán,Sales,CUST0093,VEND0016,Revenue,IFRS 15,Revenue,IFRS 15
24/05/2024,CT256121,131,331,16922421.31đ,Giao dịch mua bán,HR,CUST0196,VEND0150,Asset,IAS 16,Asset,IAS 16
07/01/2024,CT186672,214,642,47503069.07đ,Giao dịch mua bán,HR,CUST0107,VEND0033,Asset,IAS 16,Asset,IAS 16
24/03/2024,CT900645,511,642,43767296.07đ,Giao dịch mua bán,Production,CUST0060,VEND0125,Revenue,IFRS 15,Revenue,IFRS 15
23/10/2024,CT163295,131,632,16102513.38đ,Giao dịch mua bán,Sales,CUST0015,VEND0041,Asset,IAS 16,Asset,IAS 16
30/11/2024,CT548575,632,111,30021493.9đ,Giao dịch mua bán,IT,CUST0185,VEND0025,Expense,IAS 1,Expense,IAS 1
12/09/2024,CT096540,642,632,24200731.79đ,Giao dịch mua bán,Finance,CUST0033,VEND0188,Expense,IAS 1,Expense,IAS 1
16/09/2024,CT873176,331,632,3518655.44đ,Giao dịch mua bán,Finance,CUST0157,VEND0160,Liability,IAS 37,Liability,IAS 37
15/11/2024,CT361619,511,131,29343885.43đ,Giao dịch mua bán,Sales,CUST0101,VEND0074,Revenue,IFRS 15,Revenue,IFRS 15
29/05/2024,CT138871,211,112,22052596.59đ,Giao dịch mua bán,Production,CUST0093,VEND0149,Asset,IAS 16,Asset,IAS 16
11/04/2024,CT980153,211,211,16805133.69đ,Giao dịch mua bán,Sales,CUST0173,VEND0088,Asset,IAS 16,Asset,IAS 16
06/01/2024,CT298479,632,214,31083501.02,Giao dịch mua bán,Finance,CUST0006,VEND0155,Expense,IAS 1,Expense,IAS 1
18/01/2024,CT473773,511,111,19817934.75,Giao dịch mua bán,HR,CUST0026,VEND0021,Revenue,IFRS 15,Revenue,IFRS 15
07/11/2024,CT025972,642,214,6209016.93,Giao dịch mua bán,IT,CUST0197,VEND0055,Expense,IAS 1,Expense,IAS 1
21/01/2024,CT396456,112,131,48024101.8,Giao dịch mua bán,IT,CUST0047,VEND0173,Asset,IAS 16,Asset,IAS 16
12/07/2024,DUPLICATE,152,131,39944875.23,Giao dịch mua bán,Production,CUST0192,VEND0151,Asset,IAS 16,Asset,IAS 16
07/09/2024,CT508024,111,214,13392431.88,Giao dịch mua bán,Sales,CUST0023,VEND0115,Asset,IAS 16,Asset,IAS 16
13/08/2024,CT255962,131,131,35480894.14,Giao dịch mua bán,Production,CUST0076,VEND0011,Asset,IAS 16,Asset,IAS 16
02/05/2024,CT644341,111,131,29281719.08,Giao dịch mua bán,Sales,CUST0026,VEND0097,Asset,IAS 16,Asset,IAS 16
17/02/2024,CT902060,111,211,723578.17,Giao dịch mua bán,Sales,CUST0140,VEND0032,Asset,IAS 16,Asset,IAS 16
25/10/2024,CT944570,331,642,38999473.68,Giao dịch mua bán,Production,CUST0122,VEND0067,Liability,IAS 37,Liability,IAS 37
30/01/2024,CT091332,511,111,34907802.44,Giao dịch mua bán,Sales,CUST0194,VEND0188,Revenue,IFRS 15,Revenue,IFRS 15
02/11/2024,CT904295,156,111,12738338.83,Giao dịch mua bán,IT,CUST0187,VEND0132,Asset,IAS 16,Asset,IAS 16
15/04/2024,CT207432,152,112,21018860.58,Giao dịch mua bán,Production,CUST0020,VEND0135,Asset,IAS 16,Asset,IAS 16
29/08/2024,CT751345,111,632,27437557.48,Giao dịch mua bán,Finance,CUST0128,VEND0159,Asset,IAS 16,Asset,IAS 16
02/07/2024,CT761208,511,131,27282604.51,Giao dịch mua bán,IT,CUST0162,VEND0116,Revenue,IFRS 15,Revenue,IFRS 15
30/09/2024,CT322712,511,152,47036635.5,Giao dịch mua bán,Production,CUST0180,VEND0182,Revenue,IFRS 15,Revenue,IFRS 15
05/04/2024,CT229444,642,112,3275743.75,Giao dịch mua bán,HR,CUST0121,VEND0087,Expense,IAS 1,Expense,IAS 1
08/09/2024,CT270023,632,131,23224632.75,Giao dịch mua bán,Finance,CUST0083,VEND0048,Expense,IAS 1,Expense,IAS 1
18/02/2024,CT726466,642,112,12445082.31,Giao dịch mua bán,IT,CUST0157,VEND0198,Expense,IAS 1,Expense,IAS 1
05/08/2024,CT130976,131,111,27602402.53,Giao dịch mua bán,Production,CUST0052,VEND0091,Asset,IAS 16,Asset,IAS 16
28/07/2024,CT295237,331,511,21524475.75,Giao dịch mua bán,HR,CUST0182,VEND0054,Liability,IAS 37,Liability,IAS 37
08/08/2024,CT685277,152,156,28234093.15,Giao dịch mua bán,Production,CUST0154,VEND0018,Asset,IAS 16,Asset,IAS 16
18/02/2024,CT576879,331,642,24621414.24,Giao dịch mua bán,Sales,CUST0149,VEND0088,Liability,IAS 37,Liability,IAS 37
24/06/2024,CT799750,331,131,30006254.22,Giao dịch mua bán,HR,CUST0076,VEND0179,Liability,IAS 37,Liability,IAS 37
29/10/2024,CT726673,331,156,42644879.44,Giao dịch mua bán,IT,CUST0142,VEND0147,Liability,IAS 37,Liability,IAS 37
20/05/2024,DUPLICATE,331,632,5617448.56,Giao dịch mua bán,Production,CUST0039,VEND0176,Liability,IAS 37,Liability,IAS 37
16/05/2024,CT590549,511,156,26347669.2,Giao dịch mua bán,Finance,CUST0040,VEND0070,Revenue,IFRS 15,Revenue,IFRS 15
27/03/2024,CT820024,331,152,40246917.18,Giao dịch mua bán,Production,CUST0187,VEND0128,Liability,IAS 37,Liability,IAS 37
18/10/2024,CT573650,131,211,31570311.6,Giao dịch mua bán,IT,CUST0001,VEND0060,Asset,IAS 16,Asset,IAS 16
04/06/2024,CT222721,152,111,44624519.49,Giao dịch mua bán,Production,CUST0049,VEND0095,Asset,IAS 16,Asset,IAS 16
20/03/2024,CT198999,152,211,18797555.56,Giao dịch mua bán,Sales,CUST0027,VEND0122,Asset,IAS 16,Asset,IAS 16
20/07/2024,CT732531,331,331,37427104.53,Giao dịch mua bán,Production,CUST0114,VEND0124,Liability,IAS 37,Liability,IAS 37
15/12/2024,CT269874,211,112,49462080.09,Giao dịch mua bán,IT,CUST0056,VEND0074,Asset,IAS 16,Asset,IAS 16
28/06/2024,CT630490,112,152,10075024.8,Giao dịch mua bán,Production,CUST0098,VEND0156,Asset,IAS 16,Asset,IAS 16
26/11/2024,CT261564,111,331,13474183.08,Giao dịch mua bán,IT,CUST0176,VEND0140,Asset,IAS 16,Asset,IAS 16
15/07/2024,CT106584,111,331,33207638.59,Giao dịch mua bán,Production,CUST0154,VEND0039,Asset,IAS 16,Asset,IAS 16
14/12/2024,CT328975,131,152,21025528.05,Giao dịch mua bán,IT,CUST0189,VEND0188,Asset,IAS 16,Asset,IAS 16
08/12/2024,CT397617,112,112,6559281.31,Giao dịch mua bán,Sales,CUST0078,VEND0011,Asset,IAS 16,Asset,IAS 16
04/11/2024,CT027693,131,642,10404171.46,Giao dịch mua bán,HR,CUST0095,VEND0100,Asset,IAS 16,Asset,IAS 16
01/02/2024,CT158281,111,214,14794126.05,Giao dịch mua bán,Finance,CUST0036,VEND0148,Asset,IAS 16,Asset,IAS 16
29/07/2024,CT196689,214,214,42004685.21,Giao dịch mua bán,IT,CUST0055,VEND0196,Asset,IAS 16,Asset,IAS 16
05/11/2024,CT148650,211,511,46054227.41,Giao dịch mua bán,HR,CUST0187,VEND0111,Asset,IAS 16,Asset,IAS 16
30/01/2024,CT264103,632,211,48615351.4,Giao dịch mua bán,Sales,CUST0200,VEND0050,Expense,IAS 1,Expense,IAS 1
01/08/2024,CT776479,211,156,17618890.37,Giao dịch mua bán,HR,CUST0080,VEND0146,Asset,IAS 16,Asset,IAS 16
04/12/2024,CT172693,112,511,19407326.36,Giao dịch mua bán,IT,CUST0048,VEND0056,Asset,IAS 16,Asset,IAS 16
20/07/2024,CT913562,111,211,8988325.87,Giao dịch mua bán,IT,CUST0123,VEND0190,Asset,IAS 16,Asset,IAS 16
09/01/2024,CT269415,152,331,33636898.3,Giao dịch mua bán,IT,CUST0066,VEND0021,Asset,IAS 16,Asset,IAS 16
31/08/2024,CT852373,152,642,26356966.16,Giao dịch mua bán,Sales,CUST0071,VEND0152,Asset,IAS 16,Asset,IAS 16
07/03/2024,CT179063,642,211,23366145.2,Giao dịch mua bán,Sales,CUST0055,VEND0081,Expense,IAS 1,Expense,IAS 1
06/05/2024,CT571749,152,152,28786778.7,Giao dịch mua bán,Finance,CUST0088,VEND0104,Asset,IAS 16,Asset,IAS 16
05/04/2024,CT054286,331,642,20943350.69,Giao dịch mua bán,IT,CUST0184,VEND0001,Liability,IAS 37,Liability,IAS 37
14/10/2024,CT054286,511,131,45989621.39,Giao dịch mua bán,Sales,CUST0184,VEND0186,Revenue,IFRS 15,Revenue,IFRS 15
23/08/2024,CT054286,156,511,24734764.02,Giao dịch mua bán,Finance,CUST0117,VEND0195,Asset,IAS 16,Asset,IAS 16
20/03/2024,CT054286,331,211,18154566.39,Giao dịch mua bán,Sales,CUST0043,VEND0077,Liability,IAS 37,Liability,IAS 37
14/09/2024,CT054286,131,632,111095.75,Giao dịch mua bán,Production,CUST0091,VEND0166,Asset,IAS 16,Asset,IAS 16
10/10/2024,CT054286,111,111,10967453.16,Giao dịch mua bán,HR,CUST0160,VEND0059,Asset,IAS 16,Asset,IAS 16
27/02/2024,CT054286,642,211,31200543.3,Giao dịch mua bán,Finance,CUST0061,VEND0091,Expense,IAS 1,Expense,IAS 1
24/01/2024,CT054286,131,152,31765316.45đ,Giao dịch mua bán,Finance,CUST0174,VEND0140,Asset,IAS 16,Asset,IAS 16
25/07/2024,CT054286,111,131,10088647.69,Giao dịch mua bán,HR,CUST0178,VEND0048,Asset,IAS 16,Asset,IAS 16
08/05/2024,CT054286,511,152,23265568.13,Giao dịch mua bán,Sales,CUST0143,VEND0045,Revenue,IFRS 15,Revenue,IFRS 15
17/11/2024,CT054286,152,632,2742099.53,Giao dịch mua bán,HR,CUST0068,VEND0043,Asset,IAS 16,Asset,IAS 16
16/06/2024,CT054286,214,511,4617621.97,Giao dịch mua bán,HR,CUST0147,VEND0124,Asset,IAS 16,Asset,IAS 16
13/09/2024,CT054286,156,511,29778895.47,Giao dịch mua bán,Production,CUST0023,VEND0014,Asset,IAS 16,Asset,IAS 16
26/05/2024,CT054286,214,211,35995996.85,Giao dịch mua bán,Production,CUST0167,VEND0078,Asset,IAS 16,Asset,IAS 16
18/01/2024,CT054286,211,111,14241422.64,Giao dịch mua bán,Production,CUST0064,VEND0159,Asset,IAS 16,Asset,IAS 16
28/01/2024,CT054286,642,111,34186578.8,Giao dịch mua bán,IT,CUST0028,VEND0070,Expense,IAS 1,Expense,IAS 1
02/05/2024,CT054286,632,331,6682887.97,Giao dịch mua bán,HR,CUST0041,VEND0035,Expense,IAS 1,Expense,IAS 1
06/08/2024,CT054286,131,156,37358437.54,Giao dịch mua bán,Finance,CUST0035,VEND0059,Asset,IAS 16,Asset,IAS 16
28/06/2024,CT054286,511,632,24263076.2,Giao dịch mua bán,Production,CUST0087,VEND0155,Revenue,IFRS 15,Revenue,IFRS 15
04/09/2024,CT054286,331,511,45760099.72,Giao dịch mua bán,IT,CUST0050,VEND0006,Liability,IAS 37,Liability,IAS 37
03/10/2024,CT054286,331,632,2886549.4,Giao dịch mua bán,Finance,CUST0104,VEND0065,Liability,IAS 37,Liability,IAS 37
19/06/2024,CT054286,511,642,22031579.35,Giao dịch mua bán,Production,CUST0150,VEND0046,Revenue,IFRS 15,Revenue,IFRS 15
12/04/2024,CT054286,511,111,49870365.01đ,Giao dịch mua bán,IT,CUST0080,VEND0136,Revenue,IFRS 15,Revenue,IFRS 15
02/04/2024,CT054286,632,632,39843976.3,Giao dịch mua bán,Production,CUST0176,VEND0061,Expense,IAS 1,Expense,IAS 1
16/09/2024,CT054286,331,632,8753315.11,Giao dịch mua bán,Sales,CUST0146,VEND0037,Liability,IAS 37,Liability,IAS 37
30/03/2024,CT054286,214,152,19197004.62,Giao dịch mua bán,Production,CUST0028,VEND0032,Asset,IAS 16,Asset,IAS 16
06/07/2024,CT054286,331,214,40718992.63,Giao dịch mua bán,HR,CUST0047,VEND0001,Liability,IAS 37,Liability,IAS 37
03/06/2024,CT054286,211,511,18116430.39,Giao dịch mua bán,Sales,CUST0012,VEND0168,Asset,IAS 16,Asset,IAS 16
06/09/2024,CT054286,632,214,10572314.66,Giao dịch mua bán,HR,CUST0066,VEND0174,Expense,IAS 1,Expense,IAS 1
26/03/2024,CT054286,152,632,43629481.32,Giao dịch mua bán,HR,CUST0038,VEND0027,Asset,IAS 16,Asset,IAS 16
21/11/2024,CT054286,511,152,49079181.24,Giao dịch mua bán,Sales,CUST0142,VEND0024,Revenue,IFRS 15,Revenue,IFRS 15
27/06/2024,CT054286,642,152,29640545.1,Giao dịch mua bán,Production,CUST0015,VEND0040,Expense,IAS 1,Expense,IAS 1
06/05/2024,CT054286,112,131,7268507.32,Giao dịch mua bán,HR,CUST0049,VEND0162,Asset,IAS 16,Asset,IAS 16
19/01/2024,CT054286,211,511,28023811.01,Giao dịch mua bán,IT,CUST0159,VEND0113,Asset,IAS 16,Asset,IAS 16
11/07/2024,CT054286,511,131,25101615.29,Giao dịch mua bán,Finance,CUST0081,VEND0058,Revenue,IFRS 15,Revenue,IFRS 15
16/10/2024,CT054286,152,152,44865011.51,Giao dịch mua bán,Sales,CUST0028,VEND0139,Asset,IAS 16,Asset,IAS 16
21/08/2024,CT054286,152,111,10123628.77,Giao dịch mua bán,Sales,CUST0138,VEND0113,Asset,IAS 16,Asset,IAS 16
16/06/2024,CT054286,511,111,6879149.91đ,Giao dịch mua bán,IT,CUST0164,VEND0026,Revenue,IFRS 15,Revenue,IFRS 15
16/06/2024,CT054286,632,214,2741555.52,Giao dịch mua bán,Sales,CUST0029,VEND0086,Expense,IAS 1,Expense,IAS 1
05/07/2024,CT054286,211,331,27959759.45,Giao dịch mua bán,Production,CUST0011,VEND0105,Asset,IAS 16,Asset,IAS 16
01/04/2024,CT054286,214,112,32453691.87,Giao dịch mua bán,Production,CUST0142,VEND0093,Asset,IAS 16,Asset,IAS 16
24/01/2024,CT054286,131,642,32441641.46,Giao dịch mua bán,HR,CUST0012,VEND0139,Asset,IAS 16,Asset,IAS 16
24/02/2024,CT054286,642,156,27027720.99,Giao dịch mua bán,HR,CUST0040,VEND0008,Expense,IAS 1,Expense,IAS 1
14/01/2024,CT054286,131,331,31890400.84,Giao dịch mua bán,Production,CUST0171,VEND0016,Asset,IAS 16,Asset,IAS 16
12/11/2024,CT054286,632,211,47353310.19,Giao dịch mua bán,Finance,CUST0161,VEND0047,Expense,IAS 1,Expense,IAS 1
28/12/2024,CT054286,152,331,13687759.37,Giao dịch mua bán,Production,CUST0041,VEND0049,Asset,IAS 16,Asset,IAS 16
12/01/2024,CT054286,111,211,3282194.08,Giao dịch mua bán,Production,CUST0176,VEND0148,Asset,IAS 16,Asset,IAS 16
12/08/2024,CT054286,511,331,34401736.12,Giao dịch mua bán,Production,CUST0181,VEND0112,Revenue,IFRS 15,Revenue,IFRS 15
12/10/2024,CT054286,511,331,23615062.42,Giao dịch mua bán,HR,CUST0171,VEND0096,Revenue,IFRS 15,Revenue,IFRS 15
24/06/2024,CT054286,131,112,40844399.43,Giao dịch mua bán,Sales,CUST0160,VEND0176,Asset,IAS 16,Asset,IAS 16
29/11/2024,CT849303,156,131,1179642.21,Giao dịch mua bán,IT,CUST0087,VEND0117,Asset,IAS 16,Asset,IAS 16
22/03/2024,CT991710,331,131,2649972.41,Giao dịch mua bán,Production,CUST0067,VEND0116,Liability,IAS 37,Liability,IAS 37
13/08/2024,CT165280,156,156,1477077.32,Giao dịch mua bán,Production,CUST0126,VEND0025,Asset,IAS 16,Asset,IAS 16
06/08/2024,CT903433,511,211,629615.34,Giao dịch mua bán,Production,CUST0014,VEND0015,Revenue,IFRS 15,Revenue,IFRS 15
14/04/2024,CT905789,642,632,8341850.51,Giao dịch mua bán,HR,CUST0131,VEND0023,Expense,IAS 1,Expense,IAS 1
21/02/2024,CT788576,156,642,3848108.64,Giao dịch mua bán,HR,CUST0099,VEND0173,Asset,IAS 16,Asset,IAS 16
29/08/2024,CT218701,112,112,4561799.35,Giao dịch mua bán,Sales,CUST0200,VEND0091,Asset,IAS 16,Asset,IAS 16
13/11/2024,CT602350,632,632,9531351.91,Giao dịch mua bán,Sales,CUST0024,VEND0194,Expense,IAS 1,Expense,IAS 1
14/08/2024,CT485433,156,632,2366863.31,Giao dịch mua bán,Sales,CUST0107,VEND0045,Asset,IAS 16,Asset,IAS 16
11/01/2024,CT324874,152,131,3818648.85,Giao dịch mua bán,HR,CUST0090,VEND0198,Asset,IAS 16,Asset,IAS 16
08/05/2024,CT701587,642,511,379593.36,Giao dịch mua bán,Finance,CUST0026,VEND0083,Expense,IAS 1,Expense,IAS 1
08/01/2024,CT307267,211,131,335144.6,Giao dịch mua bán,IT,CUST0041,VEND0036,Asset,IAS 16,Asset,IAS 16
11/10/2024,CT851122,214,331,1960591.15,Giao dịch mua bán,HR,CUST0026,VEND0170,Asset,IAS 16,Asset,IAS 16
24/06/2024,CT402545,331,331,5034615.39,Giao dịch mua bán,Sales,CUST0050,VEND0104,Liability,IAS 37,Liability,IAS 37
01/07/2024,CT190691,211,642,3389888.08,Giao dịch mua bán,Sales,CUST0099,VEND0149,Asset,IAS 16,Asset,IAS 16
13/02/2024,CT067012,111,156,769296.07,Giao dịch mua bán,Sales,CUST0058,VEND0100,Asset,IAS 16,Asset,IAS 16
07/03/2024,CT487802,211,112,8486810.01,Giao dịch mua bán,Production,CUST0045,VEND0160,Asset,IAS 16,Asset,IAS 16
28/01/2024,CT700658,112,111,1294959.8,Giao dịch mua bán,Finance,CUST0041,VEND0057,Asset,IAS 16,Asset,IAS 16
20/10/2024,CT131656,511,156,718211.62,Giao dịch mua bán,Sales,CUST0180,VEND0037,Revenue,IFRS 15,Revenue,IFRS 15
30/06/2024,CT102206,331,152,6138674.52,Giao dịch mua bán,Sales,CUST0082,VEND0122,Liability,IAS 37,Liability,IAS 37
07/02/2024,CT841047,632,131,3791897.96,Giao dịch mua bán,Production,CUST0029,VEND0127,Expense,IAS 1,Expense,IAS 1
10/11/2024,CT928362,511,511,6557038.18,Giao dịch mua bán,Production,CUST0160,VEND0188,Revenue,IFRS 15,Revenue,IFRS 15
21/06/2024,CT972714,112,511,7481023.34,Giao dịch mua bán,Production,CUST0130,VEND0118,Asset,IAS 16,Asset,IAS 16
22/12/2024,CT644228,112,211,4156080.04,Giao dịch mua bán,IT,CUST0067,VEND0123,Asset,IAS 16,Asset,IAS 16
29/01/2024,CT229334,214,511,9235136.27,Giao dịch mua bán,Production,CUST0054,VEND0142,Asset,IAS 16,Asset,IAS 16
10/10/2024,CT226592,642,211,5071484.68,Giao dịch mua bán,Sales,CUST0026,VEND0161,Expense,IAS 1,Expense,IAS 1
07/06/2024,CT035138,511,111,7422962.68,Giao dịch mua bán,Sales,CUST0088,VEND0119,Revenue,IFRS 15,Revenue,IFRS 15
15/07/2024,CT133947,642,131,9792622.69,Giao dịch mua bán,Sales,CUST0018,VEND0010,Expense,IAS 1,Expense,IAS 1
27/10/2024,CT302984,331,211,8106541.22,Giao dịch mua bán,HR,CUST0130,VEND0164,Liability,IAS 37,Liability,IAS 37
09/10/2024,CT191381,152,214,960297.98,Giao dịch mua bán,Finance,CUST0092,VEND0093,Asset,IAS 16,Asset,IAS 16
21/08/2024,CT895669,156,632,2905854.03,Giao dịch mua bán,Sales,CUST0020,VEND0079,Asset,IAS 16,Asset,IAS 16
21/04/2024,CT791910,511,642,9325777.85,Giao dịch mua bán,HR,CUST0035,VEND0146,Revenue,IFRS 15,Revenue,IFRS 15
09/02/2024,CT309951,214,156,1800553.93,Giao dịch mua bán,Finance,CUST0094,VEND0135,Asset,IAS 16,Asset,IAS 16
01/01/2024,CT010962,112,156,9866060.14,Giao dịch mua bán,Sales,CUST0173,VEND0176,Asset,IAS 16,Asset,IAS 16
31/01/2024,CT631605,214,214,4944628.89,Giao dịch mua bán,Finance,CUST0003,VEND0023,Asset,IAS 16,Asset,IAS 16
05/04/2024,CT373124,632,511,8508365.1,Giao dịch mua bán,IT,CUST0018,VEND0043,Expense,IAS 1,Expense,IAS 1
18/06/2024,CT520117,214,112,486567.16,Giao dịch mua bán,Production,CUST0027,VEND0166,Asset,IAS 16,Asset,IAS 16
28/11/2024,CT103626,214,156,226826.64,Giao dịch mua bán,Production,CUST0144,VEND0118,Asset,IAS 16,Asset,IAS 16
21/09/2024,CT707151,511,632,6880460.9,Giao dịch mua bán,Finance,CUST0107,VEND0198,Revenue,IFRS 15,Revenue,IFRS 15
14/05/2024,CT659348,131,111,4634406.48,Giao dịch mua bán,Sales,CUST0032,VEND0053,Asset,IAS 16,Asset,IAS 16
29/01/2024,CT757249,211,152,2655704.48,Giao dịch mua bán,Finance,CUST0194,VEND0106,Asset,IAS 16,Asset,IAS 16
03/11/2024,CT757731,112,211,7967897.01,Giao dịch mua bán,HR,CUST0098,VEND0139,Asset,IAS 16,Asset,IAS 16
18/08/2024,CT310341,331,511,8362486.96,Giao dịch mua bán,Sales,CUST0004,VEND0190,Liability,IAS 37,Liability,IAS 37
30/11/2024,CT372255,632,642,8424311.56,Giao dịch mua bán,HR,CUST0010,VEND0189,Expense,IAS 1,Expense,IAS 1
24/12/2024,CT086066,214,211,2786046.09,Giao dịch mua bán,Sales,CUST0135,VEND0177,Asset,IAS 16,Asset,IAS 16
28/10/2024,CT736592,156,331,3231016,Giao dịch mua bán,Production,CUST0065,VEND0033,Asset,IAS 16,Asset,IAS 16
04/10/2024,CT194762,642,156,1251336.62,Giao dịch mua bán,Finance,CUST0170,VEND0006,Expense,IAS 1,Expense,IAS 1
23/07/2024,CT179682,632,211,6556635.62,Giao dịch mua bán,Production,CUST0178,VEND0085,Expense,IAS 1,Expense,IAS 1
30/08/2024,CT868776,331,156,2414313.19,Giao dịch mua bán,Finance,CUST0068,VEND0081,Liability,IAS 37,Liability,IAS 37
